"NACE2","Label_NACE2","PRODCOM2021","Label_PRODCOM2021","Comment","URL"
"0891","08.91 Mining of chemical and fertiliser minerals","08911900","08.91.19.00 Other chemical and fertiliser minerals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0891","08.91 Mining of chemical and fertiliser minerals","089112","08.91.12 Unroasted iron pyrites; crude or unrefined sulphur",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0891","08.91 Mining of chemical and fertiliser minerals","0891","08.91 Mining of chemical and fertiliser minerals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0891","08.91 Mining of chemical and fertiliser minerals","08911220","08.91.12.20 Unroasted iron pyrites",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0891","08.91 Mining of chemical and fertiliser minerals","089119","08.91.19 Other chemical and fertiliser minerals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0891","08.91 Mining of chemical and fertiliser minerals","08911100","08.91.11.00 Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0891"
"0893","08.93 Extraction of salt","0893","08.93 Extraction of salt",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0893"
"0893","08.93 Extraction of salt","089310","08.93.10 Salt and pure sodium chloride; sea water",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0893"
"0893","08.93 Extraction of salt","08931000","08.93.10.00 Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0893"
"0899","08.99 Other mining and quarrying n.e.c.","0899","08.99 Other mining and quarrying n.e.c.",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","089910","08.99.10 Bitumen and asphalt, natural; asphaltites and asphaltic rock",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08991000","08.99.10.00 Natural bitumen and natural asphalt; asphaltites and asphaltic rocks",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","089921","08.99.21 Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992110","08.99.21.10 Diamonds unworked or simply sawn or roughly shaped",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992120","08.99.21.20 Precious stones (other than diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","089922","08.99.22 Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992210","08.99.22.10 Industrial diamonds. Unworked or simply sawn, cleaved or bruted, but not mounted or set",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992220","08.99.22.20 Pumice stone",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992230","08.99.22.30 Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","089929","08.99.29 Other minerals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"0899","08.99 Other mining and quarrying n.e.c.","08992900","08.99.29.00 Other minerals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_0899"
"1011","10.11 Processing and preserving of meat","1011","10.11 Processing and preserving of meat",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101111","10.11.11 Meat of bovine animals, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111140","10.11.11.40 Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111190","10.11.11.90 Fresh or chilled cuts, of beef and veal",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101112","10.11.12 Meat of swine, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111230","10.11.12.30 Fresh or chilled carcases and half-carcases, of pig meat (including fresh meat packed with salt as a temporary preservative)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111250","10.11.12.50 Fresh or chilled hams, shoulders and cuts thereof with bone in, of pig meat (including fresh meat packed with salt as a temporary preservative)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111290","10.11.12.90 Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101113","10.11.13 Meat of sheep, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111300","10.11.13.00 Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101114","10.11.14 Meat of goats, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111400","10.11.14.00 Meat of goats, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101115","10.11.15 Meat of horses and other equines, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10111500","10.11.15.00 Meat of horses and other equines, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101120","10.11.20 Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10112000","10.11.20.00 Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101131","10.11.31 Meat of bovine animals, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113100","10.11.31.00 Frozen carcases, half-carcases, quarters and cuts, of beef and veal",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101132","10.11.32 Meat of swine, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113230","10.11.32.30 Frozen carcases and half-carcases, of pig meat",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113250","10.11.32.50 Frozen hams, shoulders and cuts with bone in, of pig meat",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113290","10.11.32.90 Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101133","10.11.33 Meat of sheep, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113300","10.11.33.00 Frozen carcases, half-carcases and cuts, of lamb or sheep",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101134","10.11.34 Meat of goats, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113400","10.11.34.00 Frozen meat, of goats",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101135","10.11.35 Meat of horses and other equines, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113500","10.11.35.00 Frozen meat, of horses and other equines",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101139","10.11.39 Other meat and edible offal, fresh, chilled or frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113910","10.11.39.10 Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10113930","10.11.39.30 Fresh, chilled or frozen edible meat and offal (including meat and offal of rabbits, hares and game; excluding frog legs, and meat and offal of poultry, bovine and equine animals, swine, sheep and goat)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101141","10.11.41 Pulled wool, greasy, including fleece-washed pulled wool",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10114100","10.11.41.00 Greasy wool not carded or combed (including fleece-washed wool) (excluding shorn wool)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101142","10.11.42 Whole raw hides and skins of bovine or equine animals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10114200","10.11.42.00 Raw hides and skins of bovine or equine animals, whole (except those linked to HS 4101 90)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101143","10.11.43 Other raw hides and skins of bovine or equine animals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10114300","10.11.43.00 Other raw hides and skins of bovine and equine animals",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101144","10.11.44 Raw hides and skins of sheep or lambs",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10114400","10.11.44.00 Skins of sheep or lambs",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101145","10.11.45 Raw hides and skins of goats or kids",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10114500","10.11.45.00 Raw hides and skins of goats or kids but not tanned, fresh or preserved",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101150","10.11.50 Fats of bovine animals, sheep, goats or pigs",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10115040","10.11.50.40 Pig fat free of lean meat; fresh; chilled; frozen; salted; in brine or smoked (excluding rendered)",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10115060","10.11.50.60 Lard and other pig fat; rendered",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","10115070","10.11.50.70 Fats of bovine animals; sheep or goats; raw or rendered",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
"1011","10.11 Processing and preserving of meat","101160","10.11.60 Raw offal, inedible",NA,"http://data.europa.eu/ux2/nace2/NACE2_PRODCOM2021_1011"
