"NAICS 2017","NAICS 2022","NACE Rev. 2","CodeChange","Redundancy","NoMatchToAStar","NoMatchToB","NoMatchFromAStar","NoMatchFromB","LabelChange","NAICS 2017_2017 NAICS US Title","NAICS 2017_Seq. No.","NAICS 2022_2022 NAICS US Title","NAICS 2022_Seq. No.","NACE Rev. 2_Name","NACE Rev. 2_Include","NACE Rev. 2_IncludeAlso","NACE Rev. 2_Exclude","NACE Rev. 2_URI","NAICS 2017 - NAICS 2022_2017 NAICS Title","NAICS 2017 - NAICS 2022_2022 NAICS Title","NAICS 2017 - NAICS 2022_Change Indicator","NAICS 2017 - NACE Rev. 2_NACE Rev. 2","NAICS 2017 - NACE Rev. 2_US NAICS 2017","NAICS 2017 - NACE Rev. 2_Notes"
"212113","","05.10","","0","1","0","","0","","Anthracite Mining ","144","","","Mining of hard coal","This class includes:
- mining of hard coal: underground or surface mining, including mining through liquefaction methods
- cleaning, sizing, grading, pulverising, compressing etc. of coal to classify, improve quality or facilitate transport or storage","This class also includes:
- recovery of hard coal from culm banks","This class excludes:
- lignite mining, see 05.20
- peat digging, see 08.92
- support activities for hard coal mining, see 09.90
- test drilling for coal mining, see 09.90
- coke ovens producing solid fuels, see 19.10
- manufacture of hard coal briquettes, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12","0510","","","","Mining of hard coal","Anthracite Mining",""
"212111","","05.20","","1","1","0","","0","","Bituminous Coal and Lignite Surface Mining ","142","","","Mining of lignite","This class includes:
- mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
- washing, dehydrating, pulverising, compressing of lignite to improve quality or facilitate transport or storage","","This class excludes:
- hard coal mining, see 05.10
- peat digging, see 08.92
- support activities for lignite mining, see 09.90
- test drilling for coal mining, see 09.90
- manufacture of lignite fuel briquettes, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12","0520","","","","Mining of lignite","Bituminous Coal and Lignite Surface Mining",""
"212112","","05.20","","1","1","0","","0","","Bituminous Coal Underground Mining ","143","","","Mining of lignite","This class includes:
- mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
- washing, dehydrating, pulverising, compressing of lignite to improve quality or facilitate transport or storage","","This class excludes:
- hard coal mining, see 05.10
- peat digging, see 08.92
- support activities for lignite mining, see 09.90
- test drilling for coal mining, see 09.90
- manufacture of lignite fuel briquettes, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12","0520","","","","Mining of lignite","Bituminous Coal Underground Mining",""
"212291","","07.21","","1","1","0","","0","","Uranium-Radium-Vanadium Ore Mining ","154","","","Mining of uranium and thorium ores","This class includes:
- mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
- concentration of such ores
- manufacture of yellowcake","","This class excludes:
- enrichment of uranium and thorium ores, see 20.13
- production of uranium metal from pitchblende or other ores, see 24.46
- smelting and refining of uranium, see 24.46","0721","","","","Mining of uranium and thorium ores","Uranium-Radium-Vanadium Ore Mining","Uranium and radium mining and/or beneficiating"
"212299","","07.21","","1","1","0","","0","","All Other Metal Ore Mining ","155","","","Mining of uranium and thorium ores","This class includes:
- mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
- concentration of such ores
- manufacture of yellowcake","","This class excludes:
- enrichment of uranium and thorium ores, see 20.13
- production of uranium metal from pitchblende or other ores, see 24.46
- smelting and refining of uranium, see 24.46","0721","","","","Mining of uranium and thorium ores","All Other Metal Ore Mining","Thorium mining and/or beneficiating"
"212221","","07.29","","1","1","0","","0","","Gold Ore Mining ","149","","","Mining of other non-ferrous metal ores","This class includes:
- mining and preparation of ores chiefly valued for non-ferrous metal content:
  • aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
  • precious metals: gold, silver, platinum","","This class excludes:
- mining and preparation of uranium and thorium ores, see 07.21
- production of aluminium oxide, see 24.42
- production of mattes of copper or of nickel, see 24.44, 24.45","0729","","","","Mining of other non-ferrous metal ores","Gold Ore Mining",""
"212222","","07.29","","1","1","0","","0","","Silver Ore Mining ","150","","","Mining of other non-ferrous metal ores","This class includes:
- mining and preparation of ores chiefly valued for non-ferrous metal content:
  • aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
  • precious metals: gold, silver, platinum","","This class excludes:
- mining and preparation of uranium and thorium ores, see 07.21
- production of aluminium oxide, see 24.42
- production of mattes of copper or of nickel, see 24.44, 24.45","0729","","","","Mining of other non-ferrous metal ores","Silver Ore Mining",""
"212291","","07.29","","1","1","0","","0","","Uranium-Radium-Vanadium Ore Mining ","154","","","Mining of other non-ferrous metal ores","This class includes:
- mining and preparation of ores chiefly valued for non-ferrous metal content:
  • aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
  • precious metals: gold, silver, platinum","","This class excludes:
- mining and preparation of uranium and thorium ores, see 07.21
- production of aluminium oxide, see 24.42
- production of mattes of copper or of nickel, see 24.44, 24.45","0729","","","","Mining of other non-ferrous metal ores","Uranium-Radium-Vanadium Ore Mining","Vanadium mining and/or beneficiating"
"212299","","07.29","","1","1","0","","0","","All Other Metal Ore Mining ","155","","","Mining of other non-ferrous metal ores","This class includes:
- mining and preparation of ores chiefly valued for non-ferrous metal content:
  • aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
  • precious metals: gold, silver, platinum","","This class excludes:
- mining and preparation of uranium and thorium ores, see 07.21
- production of aluminium oxide, see 24.42
- production of mattes of copper or of nickel, see 24.44, 24.45","0729","","","","Mining of other non-ferrous metal ores","All Other Metal Ore Mining","Except thorium mining and/or beneficiating"
"212399","","08.11","","0","1","0","","0","","All Other Nonmetallic Mineral Mining ","171","","","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","This class includes:
- quarrying, rough trimming and sawing of monumental and building stone such as marble, granite, sandstone etc.
- breaking and crushing of ornamental and building stone
- quarrying, crushing and breaking of limestone
- mining of gypsum and anhydrite
- mining of chalk and uncalcined dolomite","","This class excludes:
- mining of chemical and fertiliser minerals, see 08.91
- production of calcined dolomite, see 23.52
- cutting, shaping and finishing of stone outside quarries, see 23.70","0811","","","","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","All Other Nonmetallic Mineral Mining","Other crushed stone including anhydrite, pulpstone, millstone, grindstone, gypsum, alabaster and pulpstone"
