"NAICS 2017","NAICS 2022","NACE Rev. 2","CodeChange","Redundancy","NoMatchToAStar","NoMatchToB","NoMatchFromAStar","NoMatchFromB","LabelChange","NAICS 2017_2017 NAICS US Title","NAICS 2017_Seq. No.","NAICS 2022_2022 NAICS US Title","NAICS 2022_Seq. No.","NACE Rev. 2_Name","NACE Rev. 2_Include","NACE Rev. 2_IncludeAlso","NACE Rev. 2_Exclude","NACE Rev. 2_URI","NAICS 2017 - NAICS 2022_2017 NAICS Title","NAICS 2017 - NAICS 2022_2022 NAICS Title","NAICS 2017 - NAICS 2022_Change Indicator","NAICS 2017 - NACE Rev. 2_NACE Rev. 2","NAICS 2017 - NACE Rev. 2_US NAICS 2017","NAICS 2017 - NACE Rev. 2_Notes"
"212324","","08.12","","1","1","0","","0","","Kaolin and Ball Clay Mining ","165","","","Operation of gravel and sand pits; mining of clays and kaolin","This class includes:
- extraction and dredging of industrial sand, sand for construction and gravel
- breaking and crushing of gravel 
- quarrying of sand
- mining of clays, refractory clays and kaolin","","This class excludes:
- mining of bituminous sand, see 06.10","0812","","","","Operation of gravel and sand pits; mining of clays and kaolin","Kaolin and Ball Clay Mining",""
"212325","","08.12","","1","1","0","","0","","Clay and Ceramic and Refractory Minerals Mining ","166","","","Operation of gravel and sand pits; mining of clays and kaolin","This class includes:
- extraction and dredging of industrial sand, sand for construction and gravel
- breaking and crushing of gravel 
- quarrying of sand
- mining of clays, refractory clays and kaolin","","This class excludes:
- mining of bituminous sand, see 06.10","0812","","","","Operation of gravel and sand pits; mining of clays and kaolin","Clay and Ceramic and Refractory Minerals Mining","Except non-clay ceramic and refractory minerals"
"212391","","08.91","","1","1","0","","0","","Potash, Soda, and Borate Mineral Mining ","168","","","Mining of chemical and fertiliser minerals","This class includes:
- mining of natural phosphates and natural potassium salts
- mining of native sulphur
- extraction and preparation of pyrites and pyrrhotite, except roasting
- mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite)
- mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals","This class also includes:
- guano mining","This class excludes:
- extraction of salt, see 08.93
- roasting of iron pyrites, see 20.13
- manufacture of synthetic fertilisers and nitrogen compounds, see 20.15","0891","","","","Mining of chemical and fertiliser minerals","Potash, Soda, and Borate Mineral Mining",""
"212392","","08.91","","1","1","0","","0","","Phosphate Rock Mining ","169","","","Mining of chemical and fertiliser minerals","This class includes:
- mining of natural phosphates and natural potassium salts
- mining of native sulphur
- extraction and preparation of pyrites and pyrrhotite, except roasting
- mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite)
- mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals","This class also includes:
- guano mining","This class excludes:
- extraction of salt, see 08.93
- roasting of iron pyrites, see 20.13
- manufacture of synthetic fertilisers and nitrogen compounds, see 20.15","0891","","","","Mining of chemical and fertiliser minerals","Phosphate Rock Mining",""
"212393","","08.91","","1","1","0","","0","","Other Chemical and Fertilizer Mineral Mining ","170","","","Mining of chemical and fertiliser minerals","This class includes:
- mining of natural phosphates and natural potassium salts
- mining of native sulphur
- extraction and preparation of pyrites and pyrrhotite, except roasting
- mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite)
- mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals","This class also includes:
- guano mining","This class excludes:
- extraction of salt, see 08.93
- roasting of iron pyrites, see 20.13
- manufacture of synthetic fertilisers and nitrogen compounds, see 20.15","0891","","","","Mining of chemical and fertiliser minerals","Other Chemical and Fertilizer Mineral Mining","Except salt extraction or evaporation of brine to obtain salt"
"212399","","08.92","","0","1","0","","0","","All Other Nonmetallic Mineral Mining ","171","","","Extraction of peat","This class includes:
- peat digging
- preparation of peat to improve quality or facilitate transport or storage","","This class excludes:
- service activities incidental to peat mining, see 09.90
- manufacture of peat briquettes, see 19.20
- manufacture of potting soil mixtures of peat, natural soil, sands, clays, fertiliser minerals etc., see 20.15
- manufacture of articles of peat, see 23.99","0892","","","","Extraction of peat","All Other Nonmetallic Mineral Mining","Peat mining, digging or beneficiating in combination with mining"
"212393","","08.93","","0","1","0","","0","","Other Chemical and Fertilizer Mineral Mining ","170","","","Extraction of salt","This class includes:
- extraction of salt from underground including by dissolving and pumping
- salt production by evaporation of sea water or other saline waters
- crushing, purification and refining of salt by the producer","","This class excludes:
- processing of salt into food-grade salt, e.g. iodised salt, see 10.84
- potable water production by evaporation of saline water, see 36.00","0893","","","","Extraction of salt","Other Chemical and Fertilizer Mineral Mining","Salt extraction or evaporation of brine to obtain salt"
"212325","","08.99","","1","1","0","","0","","Clay and Ceramic and Refractory Minerals Mining ","166","","","Other mining and quarrying n.e.c.","This class includes:
- mining and quarrying of various minerals and materials:
  • abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.
  • natural asphalt, asphaltites and asphaltic rock; natural solid bitumen
  • gemstones, quartz, mica etc.","","","0899","","","","Other mining and quarrying n.e.c.","Clay and Ceramic and Refractory Minerals Mining","Ceramic and refractory minerals except clays and bentonite (for example fullers earth, feldspar, and magnesite)"
"212399","","08.99","","1","1","0","","0","","All Other Nonmetallic Mineral Mining ","171","","","Other mining and quarrying n.e.c.","This class includes:
- mining and quarrying of various minerals and materials:
  • abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.
  • natural asphalt, asphaltites and asphaltic rock; natural solid bitumen
  • gemstones, quartz, mica etc.","","","0899","","","","Other mining and quarrying n.e.c.","All Other Nonmetallic Mineral Mining","Quarrying or mining abrasives, bitumins, natural asphalt, gem stones, mica, graphite, and other nonmetallic minerals n.e.c.."
"335129","","13.96","","0","1","0","","0","","Other Lighting Equipment Manufacturing ","804","","","Manufacture of other technical and industrial textiles","This class includes:
- manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive
- manufacture of labels, badges etc.
- manufacture of ornamental trimmings: braids, tassels, pompons etc.
- manufacture of fabrics impregnated, coated, covered or laminated with plastics
- manufacture of metallised yarn or metallised gimped yarn, rubber thread and cord covered with textile material, textile yarn or strip covered, impregnated, coated or sheathed with rubber or plastics
- manufacture of tyre cord fabric of high-tenacity man-made yarn
- manufacture of other treated or coated fabrics: buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances
- manufacture of diverse textile articles: textile wicks, incandescent gas mantles and tubular gas
- manufacture of mantle fabric, hosepiping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth
- manufacture of automotive trimmings
- manufacture of artists' canvas boards and tracing cloth","","This class excludes:
- manufacture of transmission or conveyor belts of textile fabric, yarn or cord impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent, see 22.19
- manufacture of plates or sheets of cellular rubber or plastic combined with textiles for reinforcing purposes only, see 22.19, 22.21
- manufacture of cloth of woven metal wire, see 25.93","1396","","","","Manufacture of other technical and industrial textiles","Other Lighting Equipment Manufacturing","Incandescent mantles"
"315280","","14.11","","1","1","0","","0","","Other Cut and Sew Apparel Manufacturing ","412","","","Manufacture of leather clothes","This class includes:
- manufacture of wearing apparel made of leather or composition leather including leather industrial work accessories as welder's leather aprons","","This class excludes:
- manufacture of fur wearing apparel, see 14.20
- manufacture of leather sports gloves and sports headgear, see 32.30
- manufacture of fire resistant and protective safety clothing, see 32.99","1411","","","","Manufacture of leather clothes","Other Cut and Sew Apparel Manufacturing",""
"316998","","14.11","","1","1","0","","0","","All Other Leather Good and Allied Product Manufacturing ","426","","","Manufacture of leather clothes","This class includes:
- manufacture of wearing apparel made of leather or composition leather including leather industrial work accessories as welder's leather aprons","","This class excludes:
- manufacture of fur wearing apparel, see 14.20
- manufacture of leather sports gloves and sports headgear, see 32.30
- manufacture of fire resistant and protective safety clothing, see 32.99","1411","","","","Manufacture of leather clothes","All Other Leather Good and Allied Product Manufacturing","Leather industrial work accessories; protective leather garments"
"315220","","14.12","","1","1","0","","0","","Men’s and Boys’ Cut and Sew Apparel Manufacturing ","408","","","Manufacture of workwear","","","This class excludes:
- manufacture of footwear, see 15.20
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29","1412","","","","Manufacture of workwear","Men's and Boys' Cut and Sew Apparel Manufacturing",""
"315280","","14.12","","1","1","0","","0","","Other Cut and Sew Apparel Manufacturing ","412","","","Manufacture of workwear","","","This class excludes:
- manufacture of footwear, see 15.20
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29","1412","","","","Manufacture of workwear","Other Cut and Sew Apparel Manufacturing",""
"315220","","14.13","","1","1","0","","0","","Men’s and Boys’ Cut and Sew Apparel Manufacturing ","408","","","Manufacture of other outerwear","This class includes:
- manufacture of other outerwear made of woven, knitted or crocheted fabric, non-wovens etc. for men, women and children:
  • coats, suits, ensembles, jackets, trousers, skirts etc.","This class also includes:
- custom tailoring
- manufacture of parts of the products listed","This class excludes:
- manufacture of wearing apparel of fur skins (except headgear), see 14.20
- manufacture of wearing apparel of rubber or plastics not assembled by stitching but merely sealed together, see 22.19, 22.29
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29","1413","","","","Manufacture of other outerwear","Men's and Boys' Cut and Sew Apparel Manufacturing",""
"315240","","14.13","","1","1","0","","0","","Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ","410","","","Manufacture of other outerwear","This class includes:
- manufacture of other outerwear made of woven, knitted or crocheted fabric, non-wovens etc. for men, women and children:
  • coats, suits, ensembles, jackets, trousers, skirts etc.","This class also includes:
- custom tailoring
- manufacture of parts of the products listed","This class excludes:
- manufacture of wearing apparel of fur skins (except headgear), see 14.20
- manufacture of wearing apparel of rubber or plastics not assembled by stitching but merely sealed together, see 22.19, 22.29
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29","1413","","","","Manufacture of other outerwear","Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing","Except artificial fur coats"
"315280","","14.13","","1","1","0","","0","","Other Cut and Sew Apparel Manufacturing ","412","","","Manufacture of other outerwear","This class includes:
- manufacture of other outerwear made of woven, knitted or crocheted fabric, non-wovens etc. for men, women and children:
  • coats, suits, ensembles, jackets, trousers, skirts etc.","This class also includes:
- custom tailoring
- manufacture of parts of the products listed","This class excludes:
- manufacture of wearing apparel of fur skins (except headgear), see 14.20
- manufacture of wearing apparel of rubber or plastics not assembled by stitching but merely sealed together, see 22.19, 22.29
- manufacture of fire resistant and protective safety clothing, see 32.99
- repair of wearing apparel, see 95.29","1413","","","","Manufacture of other outerwear","Other Cut and Sew Apparel Manufacturing",""
"315220","","14.14","","1","1","0","","0","","Men’s and Boys’ Cut and Sew Apparel Manufacturing ","408","","","Manufacture of underwear","This class includes:
- manufacture of underwear and nightwear made of woven, knitted or crocheted fabric, lace etc. for men, women and children:
  • shirts, T-shirts, underpants, briefs, pyjamas, nightdresses, dressing gowns, blouses, slips, brassieres, corsets etc.","","This class excludes:
- repair of wearing apparel, see 95.29","1414","","","","Manufacture of underwear","Men's and Boys' Cut and Sew Apparel Manufacturing",""
"315240","","14.14","","1","1","0","","0","","Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ","410","","","Manufacture of underwear","This class includes:
- manufacture of underwear and nightwear made of woven, knitted or crocheted fabric, lace etc. for men, women and children:
  • shirts, T-shirts, underpants, briefs, pyjamas, nightdresses, dressing gowns, blouses, slips, brassieres, corsets etc.","","This class excludes:
- repair of wearing apparel, see 95.29","1414","","","","Manufacture of underwear","Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",""
"315240","","14.20","","1","1","0","","0","","Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ","410","","","Manufacture of articles of fur","This class includes:
- manufacture of articles made of fur skins:
  • fur wearing apparel and clothing accessories
  • assemblies of fur skins such as ""dropped"" fur skins, plates, mats, strips etc.
  • diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths","","This class excludes:
- production of raw fur skins, see 01.4, 01.70
- production of raw hides and skins, see 10.11
- manufacture of imitation furs (long-hair cloth obtained by weaving or knitting), see 13.20, 13.91
- manufacture of fur hats, see 14.19
- manufacture of apparel trimmed with fur, see 14.19
- dressing and dyeing of fur, see 15.11
- manufacture of boots or shoes containing fur parts, see 15.20","1420","","","","Manufacture of articles of fur","Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing","Cut and sew artificial fur coats"
"315280","","14.20","","1","1","0","","0","","Other Cut and Sew Apparel Manufacturing ","412","","","Manufacture of articles of fur","This class includes:
- manufacture of articles made of fur skins:
  • fur wearing apparel and clothing accessories
  • assemblies of fur skins such as ""dropped"" fur skins, plates, mats, strips etc.
  • diverse articles of fur skins: rugs, unstuffed pouffes, industrial polishing cloths","","This class excludes:
- production of raw fur skins, see 01.4, 01.70
- production of raw hides and skins, see 10.11
- manufacture of imitation furs (long-hair cloth obtained by weaving or knitting), see 13.20, 13.91
- manufacture of fur hats, see 14.19
- manufacture of apparel trimmed with fur, see 14.19
- dressing and dyeing of fur, see 15.11
- manufacture of boots or shoes containing fur parts, see 15.20","1420","","","","Manufacture of articles of fur","Other Cut and Sew Apparel Manufacturing","Fur apparel (except hats)"
"315110","","14.31","","0","1","0","","0","","Hosiery and Sock Mills","401","","","Manufacture of knitted and crocheted hosiery","This class includes:
- manufacture of hosiery, including socks, tights and pantyhose","","","1431","","","","Manufacture of knitted and crocheted hosiery","Hosiery and Sock Mills",""
"315190","","14.39","","0","1","0","","0","","Other Apparel Knitting Mills ","403","","","Manufacture of other knitted and crocheted apparel","This class includes:
- manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape: pullovers, cardigans, jerseys, waistcoats and similar articles","","This class excludes:
- manufacture of knitted and crocheted fabrics, see 13.91
- manufacture of hosiery, see 14.31","1439","","","","Manufacture of other knitted and crocheted apparel","Other Apparel Knitting Mills",""
"316992","","15.12","","1","1","0","","0","","Women's Handbag and Purse Manufacturing ","425","","","Manufacture of luggage, handbags and the like, saddlery and harness","This class includes:
- manufacture of luggage, handbags and the like, of leather, composition leather or any other material, such as plastic sheeting, textile materials, vulcanised fibre or paperboard, where the same technology is used as for leather
- manufacture of saddlery and harness
- manufacture of non-metallic watch bands (e.g. fabric, leather, plastic)
- manufacture of diverse articles of leather or composition leather: driving belts, packings etc.
- manufacture of shoe-lace, of leather
- manufacture of horse whips and riding crops","","This class excludes:
- manufacture of leather wearing apparel, see 14.11
- manufacture of leather gloves and hats, see 14.19
- manufacture of footwear, see 15.20
- manufacture of saddles for bicycles, see 30.92
- manufacture of precious metal watch bands, see 32.12
- manufacture of non-precious metal watch bands, see 32.13
- manufacture of linemen's safety belts and other belts for occupational use, see 32.99","1512","","","","Manufacture of luggage, handbags and the like, saddlery and harness","Women's Handbag and Purse Manufacturing",""
"316998","","15.12","","1","1","0","","0","","All Other Leather Good and Allied Product Manufacturing ","426","","","Manufacture of luggage, handbags and the like, saddlery and harness","This class includes:
- manufacture of luggage, handbags and the like, of leather, composition leather or any other material, such as plastic sheeting, textile materials, vulcanised fibre or paperboard, where the same technology is used as for leather
- manufacture of saddlery and harness
- manufacture of non-metallic watch bands (e.g. fabric, leather, plastic)
- manufacture of diverse articles of leather or composition leather: driving belts, packings etc.
- manufacture of shoe-lace, of leather
- manufacture of horse whips and riding crops","","This class excludes:
- manufacture of leather wearing apparel, see 14.11
- manufacture of leather gloves and hats, see 14.19
- manufacture of footwear, see 15.20
- manufacture of saddles for bicycles, see 30.92
- manufacture of precious metal watch bands, see 32.12
- manufacture of non-precious metal watch bands, see 32.13
- manufacture of linemen's safety belts and other belts for occupational use, see 32.99","1512","","","","Manufacture of luggage, handbags and the like, saddlery and harness","All Other Leather Good and Allied Product Manufacturing","Except leather garments and leather footwear cut stock (uppers, soles, etc.)"
"316998","","15.20","","0","1","0","","0","","All Other Leather Good and Allied Product Manufacturing ","426","","","Manufacture of footwear","This class includes:
- manufacture of footwear for all purposes, of any material, by any process, including moulding (see below for exceptions)
- manufacture of leather parts of footwear: manufacture of uppers and parts of uppers, outer and inner soles, heels etc.
- manufacture of gaiters, leggings and similar articles","","This class excludes:
- manufacture of footwear of textile material without applied soles, see 14.19
- manufacture of wooden shoe parts (e.g. heels and lasts), see 16.29
- manufacture of rubber boot and shoe heels and soles and other rubber footwear parts, see 22.19
- manufacture of plastic footwear parts, see 22.29
- manufacture of ski-boots, see 32.30
- manufacture of orthopaedic shoes, see 32.50","1520","","","","Manufacture of footwear","All Other Leather Good and Allied Product Manufacturing","Footwear cut stock (uppers, soles, etc.)"
"321213","","16.21","","0","1","0","","0","","Engineered Wood Member (except Truss) Manufacturing ","436","","","Manufacture of veneer sheets and wood-based panels","This class includes:
- manufacture of veneer sheets thin enough to be used for veneering, making plywood or other purposes:
  • smoothed, dyed, coated, impregnated, reinforced (with paper or fabric backing)
  • made in the form of motifs
- manufacture of plywood, veneer panels and similar laminated wood boards and sheets
- manufacture of oriented strand board (OSB) and other particle board
- manufacture of medium density fibreboard (MDF) and other fibreboard 
- manufacture of densified wood
- manufacture of glue laminated wood, laminated veneer wood","","","1621","","","","Manufacture of veneer sheets and wood-based panels","Engineered Wood Member (except Truss) Manufacturing","LVL (laminated veneer lumber) and similar"
"321213","","16.23","","1","1","0","","0","","Engineered Wood Member (except Truss) Manufacturing ","436","","","Manufacture of other builders' carpentry and joinery","This class includes:
- manufacture of wooden goods intended to be used primarily in the construction industry:
  • beams, rafters, roof struts
  • glue-laminated and metal connected, prefabricated wooden roof trusses
  • doors, windows, shutters and their frames, whether or not containing metal fittings, such as hinges, locks etc.
  • stairs, railings
  • wooden beadings and mouldings, shingles and shakes
- manufacture of prefabricated buildings, or elements thereof, predominantly of wood, e.g. saunas
- manufacture of mobile homes
- manufacture of wood partitions (except free standing)","","This class excludes:
- manufacture of kitchen cabinets, bookcases, wardrobes etc., see 31.01, 31.02, 31.09
- manufacture of wood partitions, free standing, see 31.01, 31.02, 31.09","1623","","","","Manufacture of other builders' carpentry and joinery","Engineered Wood Member (except Truss) Manufacturing","Fabricated wood I-joists, and similar fabricated engineered wood members"
"321214","","16.23","","1","1","0","","0","","Truss Manufacturing ","437","","","Manufacture of other builders' carpentry and joinery","This class includes:
- manufacture of wooden goods intended to be used primarily in the construction industry:
  • beams, rafters, roof struts
  • glue-laminated and metal connected, prefabricated wooden roof trusses
  • doors, windows, shutters and their frames, whether or not containing metal fittings, such as hinges, locks etc.
  • stairs, railings
  • wooden beadings and mouldings, shingles and shakes
- manufacture of prefabricated buildings, or elements thereof, predominantly of wood, e.g. saunas
- manufacture of mobile homes
- manufacture of wood partitions (except free standing)","","This class excludes:
- manufacture of kitchen cabinets, bookcases, wardrobes etc., see 31.01, 31.02, 31.09
- manufacture of wood partitions, free standing, see 31.01, 31.02, 31.09","1623","","","","Manufacture of other builders' carpentry and joinery","Truss Manufacturing",""
"322121","","17.12","","1","1","0","","0","","Paper (except Newsprint) Mills ","455","","","Manufacture of paper and paperboard","This class includes:
- manufacture of paper and paperboard intended for further industrial processing","This class also includes:
- further processing of paper and paperboard:
  • coating, covering and impregnation of paper and paperboard
  • manufacture of crêped or crinkled paper
  • manufacture of laminates and foils, if laminated with paper or paperboard
- manufacture of handmade paper
- manufacture of newsprint and other printing or writing paper
- manufacture of cellulose wadding and webs of cellulose fibres
- manufacture of carbon paper or stencil paper in rolls or large sheets","This class excludes:
- manufacture of corrugated paper and paperboard, see 17.21
- manufacture of further-processed articles of paper, paperboard or pulp, see 17.22, 17.23, 17.24, 17.29
- manufacture of coated or impregnated paper, where the coating or impregnant is the main ingredient, see class in which the manufacture of the coating or impregnant is classified
- manufacture of abrasive paper, see 23.91","1712","","","","Manufacture of paper and paperboard","Paper (except Newsprint) Mills","Paper mills"
"322122","","17.12","","1","1","0","","0","","Newsprint Mills ","456","","","Manufacture of paper and paperboard","This class includes:
- manufacture of paper and paperboard intended for further industrial processing","This class also includes:
- further processing of paper and paperboard:
  • coating, covering and impregnation of paper and paperboard
  • manufacture of crêped or crinkled paper
  • manufacture of laminates and foils, if laminated with paper or paperboard
- manufacture of handmade paper
- manufacture of newsprint and other printing or writing paper
- manufacture of cellulose wadding and webs of cellulose fibres
- manufacture of carbon paper or stencil paper in rolls or large sheets","This class excludes:
- manufacture of corrugated paper and paperboard, see 17.21
- manufacture of further-processed articles of paper, paperboard or pulp, see 17.22, 17.23, 17.24, 17.29
- manufacture of coated or impregnated paper, where the coating or impregnant is the main ingredient, see class in which the manufacture of the coating or impregnant is classified
- manufacture of abrasive paper, see 23.91","1712","","","","Manufacture of paper and paperboard","Newsprint Mills",""
"322121","","17.21","","0","1","0","","0","","Paper (except Newsprint) Mills ","455","","","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","This class includes:
- manufacture of corrugated paper and paperboard
- manufacture of containers of corrugated paper or paperboard
- manufacture of folding paperboard containers
- manufacture of containers of solid board
- manufacture of other containers of paper and paperboard
- manufacture of sacks and bags of paper
- manufacture of office box files and similar articles","","This class excludes:
- manufacture of envelopes, see 17.23
- manufacture of moulded or pressed articles of paper pulp (e.g. boxes for packing eggs, moulded pulp paper plates), see 17.29","1721","","","","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","Paper (except Newsprint) Mills","Corrugated paper or paperboard or containers made in paper mills"
