NACE Rev 2.,CPA 2.1 
01.24,01.24.24
01.24,01.24.25
01.24,01.24.26
01.24,01.24.27
01.24,01.24.28
01.24,01.24.29
01.25,01.25
01.25,01.25.1
01.25,01.25.11
01.25,01.25.12
01.25,01.25.13
01.25,01.25.19
01.25,01.25.2
01.25,01.25.20
01.25,01.25.3
01.25,01.25.31
01.25,01.25.32
01.25,01.25.33
01.25,01.25.34
01.25,01.25.35
01.25,01.25.39
01.25,01.25.9
01.25,01.25.90
01.26,01.26
01.26,01.26.1
01.26,01.26.11
01.26,01.26.12
01.26,01.26.2
01.26,01.26.20
01.26,01.26.9
01.26,01.26.90
01.27,01.27
01.27,01.27.1
01.27,01.27.11
01.27,01.27.12
01.27,01.27.13
01.27,01.27.14
01.28,01.28
01.28,01.28.1
01.28,01.28.11
01.28,01.28.12
01.28,01.28.13
01.28,01.28.14
01.28,01.28.15
01.28,01.28.16
01.28,01.28.17
01.28,01.28.18
01.28,01.28.19
01.28,01.28.2
01.28,01.28.20
01.28,01.28.3
01.28,01.28.30
01.29,01.29
01.29,01.29.1
01.29,01.29.10
01.29,01.29.2
01.29,01.29.20
01.29,01.29.3
01.29,01.29.30
01.3,01.3
01.30,01.30
01.30,01.30.1
01.30,01.30.10
01.4,01.4
01.41,01.41
01.41,01.41.1
01.41,01.41.10
01.41,01.41.2
01.41,01.41.20
01.42,01.42
01.42,01.42.1
01.42,01.42.11
01.42,01.42.12
01.42,01.42.2
01.42,01.42.20
01.43,01.43
01.43,01.43.1
01.43,01.43.11
01.43,01.43.12
01.44,01.44
01.44,01.44.1
01.44,01.44.10
01.45,01.45
01.45,01.45.1
01.45,01.45.11
01.45,01.45.12
01.45,01.45.2
01.45,01.45.21
01.45,01.45.22
01.45,01.45.3
01.45,01.45.30
01.46,01.46
01.46,01.46.1
01.46,01.46.10
01.47,01.47
01.47,01.47.1
01.47,01.47.11
01.47,01.47.12
01.47,01.47.13
01.47,01.47.14
01.47,01.47.2
01.47,01.47.21
01.47,01.47.22
01.47,01.47.23
01.47,01.47.24
01.49,01.49
01.49,01.49.1
01.49,01.49.11
01.49,01.49.12
01.49,01.49.13
01.49,01.49.19
01.49,01.49.2
01.49,01.49.21
01.49,01.49.22
01.49,01.49.23
01.49,01.49.24
01.49,01.49.25
01.49,01.49.26
01.49,01.49.27
01.49,01.49.28
01.49,01.49.3
01.49,01.49.31
01.49,01.49.32
01.49,01.49.39
01.6,01.6
01.61,01.61
01.61,01.61.1
01.61,01.61.10
01.62,01.62
01.62,01.62.1
01.62,01.62.10
01.63,01.63
01.63,01.63.1
01.63,01.63.10
01.64,01.64
01.64,01.64.1
01.64,01.64.10
01.7,01.7
01.70,01.70
01.70,01.70.1
01.70,01.70.10
02.1,02.1
02.10,02.10
02.10,02.10.1
02.10,02.10.11
02.10,02.10.12
02.10,02.10.2
02.10,02.10.20
02.10,02.10.3
02.10,02.10.30
02.2,02.2
02.20,02.20
02.20,02.20.1
02.20,02.20.11
02.20,02.20.12
02.20,02.20.13
02.20,02.20.14
02.20,02.20.15
02.3,02.3
02.30,02.30
02.30,02.30.1
02.30,02.30.11
02.30,02.30.12
02.30,02.30.2
02.30,02.30.20
02.30,02.30.3
02.30,02.30.30
02.30,02.30.4
02.30,02.30.40
02.4,02.4
02.40,02.40
02.40,02.40.1
02.40,02.40.10
03.00,03.0
03.00,03.00
03.00,03.00.1
03.00,03.00.11
03.00,03.00.12
03.00,03.00.13
03,03.00.14
03,03.00.2
03,03.00.21
03,03.00.22
03,03.00.23
03,03.00.24
03,03.00.3
03,03.00.31
03,03.00.32
03,03.00.4
03,03.00.41
03,03.00.42
03,03.00.43
03,03.00.44
03,03.00.45
03,03.00.46
03,03.00.5
03,03.00.51
03,03.00.52
03,03.00.6
03,03.00.61
03,03.00.62
03,03.00.63
03,03.00.64
03,03.00.65
03,03.00.66
03,03.00.69
03,03.00.7
03,03.00.71
03,03.00.72
05.1,05.1
05.10,05.10
05.10,05.10.1
05.10,05.10.10
05.2,05.2
05.20,05.20
05.20,05.20.1
05.20,05.20.10
06.1,06.1
06.10,06.10
06.10,06.10.1
06.10,06.10.10
06.10,06.10.2
06.10,06.10.20
06.2,06.2
06.20,06.20
06.20,06.20.1
06.20,06.20.10
07.1,07.1
07.10,07.10
07.10,07.10.1
07.10,07.10.10
07.2,07.2
07.21,07.21
07.21,07.21.1
07.21,07.21.10
07.29,07.29
07.29,07.29.1
07.29,07.29.11
07.29,07.29.12
07.29,07.29.13
07.29,07.29.14
07.29,07.29.15
07.29,07.29.19
08.1,08.1
08.11,08.11
08.11,08.11.1
08.11,08.11.11
08.11,08.11.12
08.11,08.11.2
08.11,08.11.20
08.11,08.11.3
08.11,08.11.30
08.11,08.11.4
08.11,08.11.40
08.12,08.12
08.12,08.12.1
08.12,08.12.11
08.12,08.12.12
08.12,08.12.13
08.12,08.12.2
08.12,08.12.21
08.12,08.12.22
08.9,08.9
08.91,08.91
08.91,08.91.1
08.91,08.91.11
08.91,08.91.12
08.91,08.91.19
08.92,08.92
08.92,08.92.1
08.92,08.92.10
08.93,08.93
08.93,08.93.1
08.93,08.93.10
08.99,08.99
08.99,08.99.1
08.99,08.99.10
08.99,08.99.2
08.99,08.99.21
08.99,08.99.22
08.99,08.99.29
09.1,09.1
09.10,09.10
09.10,09.10.1
09.10,09.10.11
09.10,09.10.12
09.10,09.10.13
09.9,09.9
09.90,09.90
09.90,09.90.1
09.90,09.90.11
09.90,09.90.19
10.1,10.1
10.11,10.11
10.11,10.11.1
10.11,10.11.11
10.11,10.11.12
10.11,10.11.13
10.11,10.11.14
10.11,10.11.15
10.11,10.11.2
10.11,10.11.20
10.11,10.11.3
10.11,10.11.31
10.11,10.11.32
10.11,10.11.33
10.11,10.11.34
10.11,10.11.35
10.11,10.11.39
10.11,10.11.4
10.11,10.11.41
10.11,10.11.42
10.11,10.11.43
10.11,10.11.44
10.11,10.11.45
10.11,10.11.5
10.11,10.11.50
10.11,10.11.6
10.11,10.11.60
10.11,10.11.9
10.11,10.11.99
10.12,10.12
10.12,10.12.1
10.12,10.12.10
10.12,10.12.2
10.12,10.12.20
10.12,10.12.3
10.12,10.12.30
10.12,10.12.4
10.12,10.12.40
10.12,10.12.5
10.12,10.12.50
10.12,10.12.9
10.12,10.12.99
10.13,10.13
10.13,10.13.1
10.13,10.13.11
10.13,10.13.12
10.13,10.13.13
10.13,10.13.14
10.13,10.13.15
10.13,10.13.16
10.13,10.13.9
10.13,10.13.91
10.13,10.13.99
10.2,10.2
10.20,10.20
10.20,10.20.1
10.20,10.20.11
10.20,10.20.12
10.20,10.20.13
10.20,10.20.14
10.20,10.20.15
10.20,10.20.16
10.20,10.20.2
10.20,10.20.21
10.20,10.20.22
10.20,10.20.23
10.20,10.20.24
10.20,10.20.25
10.20,10.20.26
10.20,10.20.3
10.20,10.20.31
10.20,10.20.32
10.20,10.20.33
10.20,10.20.34
10.20,10.20.4
10.20,10.20.41
10.20,10.20.42
10.20,10.20.9
10.20,10.20.91
10.20,10.20.99
10.3,10.3
10.31,10.31
10.31,10.31.1
10.31,10.31.11
10.31,10.31.12
10.31,10.31.13
10.31,10.31.14
10.31,10.31.9
10.31,10.31.91
10.31,10.31.99
10.32,10.32
10.32,10.32.1
10.32,10.32.11
10.32,10.32.12
10.32,10.32.13
10.32,10.32.14
10.32,10.32.15
10.32,10.32.16
10.32,10.32.17
