"nace2","NAME","Parent","Include","Include_Also","Exclude"
"01.21","Отглеждане на грозде","01.2","- отглеждане на винено и десертно грозде",NA,"- производство на вино от грозде собствено производство, когато приходите от тази дейност превишават тези, от отглеждането на грозде - 11.02"
"01.22","Отглеждане на тропични и субтропични плодове","01.2","- отглеждане на тропични и субтропични плодове:   • авокадо   • банани   • фурми   • смокини   • манго   • папая   • ананас   • други тропични и субтропични плодове",NA,NA
"01.23","Отглеждане на цитрусови плодове","01.2","- отглеждане на цитрусови плодове:   • грейпфрут и помело   • лимони и сладки лимони   • портокали   • мандарини и нейните хибриди (тангерини, сатсумаси, клементини и други)   • други цитрусови плодове",NA,NA
"01.24","Отглеждане на семкови и костилкови плодове","01.2","- отглеждане на семкови и костилкови плодове:   • ябълки   • кайсии   • череши и вишни   • праскови и нектарини   • круши и дюли   • сливи и трънки   • други семкови и костилкови плодове",NA,NA
"01.25","Отглеждане на черупкови, ягодоплодни и други плодове","01.2","- отглеждане на плодове от ягодоплодни растения:   • боровинки   • френско грозде (червено, бяло, черно)   • цариградско грозде   • киви   • малини   • ягоди   • други плодове от ягодоплодни растения - отглеждане на овощни растения за производство на семена - отглеждане на ядливи черупкови плодове:   • бадеми   • кашу   • кестени   • лешник   • шамфъстък   • орехи   • други ядливи черупкови плодове - отглеждане на други плодове, некласифицирани другаде:   • плодове от рожкови",NA,"- отглеждане на кокосови орехи - 01.26"
"01.26","Отглеждане на маслосъдържащи плодове","01.2","- отглеждане на маслосъдържащи плодове:   • кокосови орехи   • маслини   • производство на маслинено масло от маслини собствено производство, когато приходите от тази дейност не превишават тези от отглеждането на маслини   • орехи и ядки от маслодайни палми   • други маслосъдържащи плодове",NA,"- отглеждане на соя, фъстъци и други маслодайни семена - 01.11"
"01.27","Отглеждане на растения за напитки","01.2","- отглеждане на растения за напитки:   • кафе   • чай   • мате   • какао   • други растения за напитки",NA,NA
"01.28","Отглеждане на подправки, етеричномаслени и лечебни растения","01.2","- отглеждане на трайни насаждения и едногодишни растения, използвани като подправки, и етеричномаслени растения:   • черен пипер   • лютив и сладък червен пипер за подправка (capsicum sop.)   • индийско орехче (мускатов орех), кора (обвивки) от мускатов орех и кардамон   • анасон, звезден анасон и копър   • канела   • карамфил   • джинджифил   • ванилия   • хмел   • други трайни насаждения и едногодишни растения, използвани като подправки, и етеричномаслени растения - отглеждане на лечебни растения",NA,NA
"01.29","Отглеждане на други многогодишни насаждения","01.2","- отглеждане на каучуконосни дървета за събиране на латекс - отглеждане на коледни елхи - отглеждане на дървета за събиране на сокове, клейове, смоли - отглеждане на растителни материали от видовете, използвани главно за плетене (рогозки, в кошничарството)",NA,"- отглеждане на цветя, производство на рязани цветя и цветни пъпки и отглеждане на цветя за производство на семена - 01.19 - събиране на сокове, клейове, смоли и каучукоподобни клейове (смола) в гората - 02.30"
"01.3","Дейности на разсадници, без горските","01",NA,NA,NA
"01.30","Дейности на разсадници, без горските","01.3","Този клас включва производство на посадъчен материал от растителен произход, вкл. резници, издънки и разсади за непосредствено разпространение или за създаване на растение, присадена подложка, в която подбран филиз е присаден, за окончателно посаждане за получаване на добив (годишна продукция).  - отглеждане на растения за засаждане - отглеждане на посадъчен материал за декоративни цели, вкл. чимове за разсаждане - отглеждане на живи растения за луковици, грудки и корени; резници и калеми; гъбен мицел - експлоатация на разсадници, без горските",NA,"- отглеждане на растения за производство на семена - 01.1, 02.1 - експлоатация на горски разсадници - 02.10"
"01.4","Животновъдство","01","Тази група включва отглеждане и развъждане на всякакви видове животни, без водните животни.",NA,"- подслоняване и изхранване на животни в стопанства - 01.62 - добиване на сурови кожи от кланици - 10.11"
"01.41","Отглеждане на едър рогат добитък, с млечно направление","01.4","- отглеждане и развъждане на едър рогат добитък, с млечно направление - производство на сурово краве и биволско мляко",NA,"- преработка на мляко - 10.51"
"01.42","Отглеждане на едър рогат добитък, с друго направление","01.4","- отглеждане и развъждане на едър рогат добитък, с друго направление - производство на друга продукция от едър рогат добитък (получаване на сперма от едър рогат добитък)",NA,NA
"01.43","Отглеждане на коне, магарета, мулета и катъри","01.4","- отглеждане и развъждане на коне, магарета, мулета и катъри",NA,"- експлоатация на конни бази и спортни школи за езда - 93.19"
"01.44","Отглеждане на камили, лами и подобни животни","01.4","- отглеждане и развъждане на камили (едногърби), лами и подобни животни",NA,NA
"01.45","Отглеждане на дребен рогат добитък","01.4","- отглеждане и развъждане на овце и кози - производство на сурово овче и козе мляко - производство на непрана стригана вълна",NA,"- стрижене на овце срещу заплащане (по договор или еднократно) - 01.62 - производство на вълна от обезкосмяване на одрани кожи - 10.11 - преработка на мляко извън мястото, където се добива млякото - 10.51"
"01.46","Отглеждане на свине","01.4",NA,NA,NA
"01.47","Отглеждане на домашни птици","01.4","- люпене и отглеждане на домашни птици:   • пилета от кокошия вид, патици, гъски, пуйки и други - производство на яйца от домашни птици - дейности в люпилни",NA,"- производство на перушина и пух - 10.12"
"01.49","Отглеждане на други животни","01.4","- отглеждане и развъждане на полуопитомени или други живи животни:   • щрауси и ему   • други птици(без домашни птици)   • насекоми   • зайци и други животни с козина  - добиване на сурови кожухарски кожи,кожи от влечуги или птици при отглеждането им в стопанства и ферми - експлоатация на стопанства и ферми за червеи, сухоземни мекотели - охлюви и подобни - отглеждане на копринени буби и производство на копринени пашкули - отглеждане на пчелни семейства и производство на пчелен мед, восък и други пчелни продукти - отглеждане и развъждане на домашни любимци(без рибите):   • котки и кучета   • птици като папагали и подобни   • хамстери и подобни - отглеждане на други животни и птици,некласифицирани другаде",NA,"- люпене и отглеждане на домашни птици - 01.47 - добиване на дивечови кожи от лов - 01.70 - експлоатация на стопанства  за жаби, крокодили, морски червеи - 03.21, 03.22 - експлоатация на рибни развъдници - 03.21, 03.22 - пансион и обучение на домашни любимци - 96.09"
"01.5","Комбинирано растениевъдно-животновъдно стопанствово","01",NA,NA,NA
"01.50","Комбинирано растениевъдно-животновъдно стопанство","01.5","Този клас включва комбинирано производство на растителна и животинска продукция, без специализираната продукция от растения или животни. Обемът на общото стопанско производство не е определящ фактор. Ако продукцията от растениевъдството или животновъдството в дадена селскостопанска единица е 66% или повече от стандартната брутна разлика, смесените дейности няма да се включват тук, а ще се разпределят в растениевъдното или животновъдното стопанство.",NA,"- смесено (комбинирано) растениевъдно стопанство - 01.1 и 01.2 - смесено (комбинирано) животновъдно стопанство - 01.4"
"01.6","Спомагателни дейности в селското стопанство","01","Тази група включва дейности, съпътстващи селскостопанското производство и подобни дейности, несвързани с производствените цели (в смисъл на прибиране на реколтата от селскостопанските продукти), извършени срещу заплащане (по договор или еднократно).","Включват се също дейности след прибиране на реколтата, имащи за цел подготовка на селскостопанската продукция за първичния пазар.",NA
"01.61","Спомагателни дейности в растениевъдството","01.6","- селскостопански дейности срещу заплащане (по договор или еднократно):   • подготовка на полетата и почвата    • засяване и засаждане на растенията   • обработване на растенията   • наторяване и пръскане, вкл. от въздуха   • резитба на овощни дървета и лози   • пресаждане на ориз, прореждане на цвекло и други подобни дейности   • прибиране на реколтата    • борба с вредителите по растенията (вкл. с дивите зайци) - поддържане на земеделските земи в добро агроекологично състояние - експлоатация на машини и оборудване за селскостопанско напояване","- осигуряване на селскостопански машини и инвентар с оператор и обслужващ персонал","- дейности след прибиране на реколтата - 01.63 - дренажни работи (пресушаване, отводняване) на земеделски земи - 43.12 - паркова архитектура - 71.11 - управленски и бизнес консултации, оказвани от агрономи, аграрикономисти и други селскостопански специалисти - 74.90 - оформяне и поддържане на озеленени площи - 81.30 - организиране на селскостопански изложения и панаири - 82.30"
