"NACE2","CPA21","Label_NACE2","Label_CPA21","Include_NACE2","Exclude_NACE2","Include_CPA21","Exclude_CPA21","Comment","URL"
"18.13","18.13.2","Предпечатна подготовка","Печатарски букви, клишета, плочи, цилиндри и други отпечатващи детайли",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1813"
"18.13","18.13.3","Предпечатна подготовка","Спомагателни услуги, свързани с печатането",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1813"
"18.14","18.14","Подвързване и подобни дейности, свързани с печатането","Услуги по подвързване и подобни услуги, свързани с печатането",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1814"
"18.14","18.14.1","Подвързване и подобни дейности, свързани с печатането","Услуги по подвързване и подобни услуги, свързани с печатането",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1814"
"18.2","18.2","Възпроизвеждане на записани носители","Услуги по възпроизвеждане на записани носители",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_182"
"18.20","18.20.3","Възпроизвеждане на записани носители","Услуги по възпроизвеждане на стандартен софтуер",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1820"
"18.20","18.20","Възпроизвеждане на записани носители","Услуги по възпроизвеждане на записани носители",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1820"
"18.20","18.20.1","Възпроизвеждане на записани носители","Услуги по възпроизвеждане на звукозаписи",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1820"
"18.20","18.20.2","Възпроизвеждане на записани носители","Услуги по възпроизвеждане на видеозаписи",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1820"
"19","19","Производство на кокс и рафинирани нефтопродукти","Кокс и рафинирани нефтени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_19"
"19.1","19.1","Производство на кокс и продукти на коксуването","Кокс и продукти на коксуването",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_191"
"19.10","19.10","Производство на кокс и продукти на коксуването","Кокс и продукти на коксуването",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1910"
"19.10","19.10.9","Производство на кокс и продукти на коксуването","Операции, възложени на подизпълнители, свързани с производството на кокс и продукти на коксуването",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1910"
"19.10","19.10.1","Производство на кокс и продукти на коксуването","Кокс и полукокс от въглища или от торф; ретортен въглен",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1910"
"19.10","19.10.2","Производство на кокс и продукти на коксуването","Катран от въглища или от торф; други минерални катрани",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1910"
"19.10","19.10.3","Производство на кокс и продукти на коксуването","Смола и смолен (пеков) кокс",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1910"
"19.2","19.2","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Рафинирани нефтени продукти и брикети от въглища и торф",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_192"
"19.20","19.20.4","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Други нефтени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"19.20","19.20.9","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Операции, възложени на подизпълнители, свързани с производството на рафинирани нефтени продукти и брикети от въглища и торф",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"19.20","19.20","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Рафинирани нефтени продукти и брикети от въглища и торф",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"19.20","19.20.1","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Брикети, яйцевидни брикети и подобни твърди горива",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"19.20","19.20.2","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Течни и газообразни горива; смазочни масла",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"19.20","19.20.3","Производство на рафинирани нефтопродукти и брикети от въглища и торф","Нефтени газове и други газообразни въглеводороди, без природен газ",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_1920"
"20","20","Производство на химични продукти","Основни химични вещества и химични продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_20"
"20.1","20.1","Производство на основни химични вещества","Основни химични вещества, торове и азотни съединения, полимери и синтетичен каучук в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_201"
"20.11","20.11","Производство на промишлени газове","Промишлени газове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2011"
"20.11","20.11.1","Производство на промишлени газове","Промишлени газове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2011"
"20.11","20.11.9","Производство на промишлени газове","Операции, възложени на подизпълнители, свързани с производството на промишлени газове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2011"
"20.12","20.12","Производство на багрила и пигменти","Багрила и пигменти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2012"
"20.12","20.12.1","Производство на багрила и пигменти","Оксиди, пероксиди и хидрооксиди",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2012"
"20.12","20.12.2","Производство на багрила и пигменти","Дъбилни или багрилни екстракти; танини и техните производни; други багрилни вещества.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2012"
"20.12","20.12.9","Производство на багрила и пигменти","Операции, възложени на подизпълнители, свързани с производството на багрила и пигменти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2012"
"20.13","20.13","Производство на други основни неорганични химични вещества","Други основни неорганични химични вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.1","Производство на други основни неорганични химични вещества","Плутоний и обогатен уран; торий и обеднен уран; други радиоактивни химични елементи",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.2","Производство на други основни неорганични химични вещества","Химични елементи, н.д.; неорганични киселини и техните съединения",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.3","Производство на други основни неорганични химични вещества","Метални халогениди; хипохлорити, хлорати и перхлорати",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.4","Производство на други основни неорганични химични вещества","Сулфиди, сулфати; нитрати, фосфати и карбонати",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.5","Производство на други основни неорганични химични вещества","Соли на други метали",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.6","Производство на други основни неорганични химични вещества","Други основни неорганични химични вещества, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.13","20.13.9","Производство на други основни неорганични химични вещества","Операции, възложени на подизпълнители, свързани с производството на други основни неорганични химични вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2013"
"20.14","20.14","Производство на други основни органични химични вещества","Други основни органични химични вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.1","Производство на други основни органични химични вещества","Въглеводороди и техните производни",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.2","Производство на други основни органични химични вещества","Алкохоли, феноли и техните халогено-, сулфо-, нитро- или нитрозопроизводни; промишлени мастни алкохоли",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.3","Производство на други основни органични химични вещества","Промишлени монокарбоксилни мастни киселини; карбоксилни киселини и техните производни",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.4","Производство на други основни органични химични вещества","Органични съединения с азотни функционални групи",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.5","Производство на други основни органични химични вещества","Органични тиосъединения и други органоминерални съединения; хетероциклени съединения, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.6","Производство на други основни органични химични вещества","Етери, органични пероксиди, епоксиди, ацетали и хемиацетали; други органични съединения",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.7","Производство на други основни органични химични вещества","Разнообразни основни органични химични продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.8","Производство на други основни органични химични вещества","Отпадъчни луги при производството на дървесна маса, без таловото масло",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.14","20.14.9","Производство на други основни органични химични вещества","Операции, възложени на подизпълнители, свързани с производството на други основни органични химични вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2014"
"20.15","20.15.4","Производство на азотни съединения и торове","Фосфорни торове, минерални или химични",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15","Производство на азотни съединения и торове","Азотни съединения и торове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.1","Производство на азотни съединения и торове","Азотна киселина; смеси от азотна и сярна киселина; амоняк",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.2","Производство на азотни съединения и торове","Амониев хлорид; нитрити",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.3","Производство на азотни съединения и торове","Азотни торове, минерални или химични",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.5","Производство на азотни съединения и торове","Калиеви торове, минерални или химични",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.6","Производство на азотни съединения и торове","Натриев нитрат",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.7","Производство на азотни съединения и торове","Други торове, минерални или химични",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.8","Производство на азотни съединения и торове","Торове от животински или растителен произход",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.15","20.15.9","Производство на азотни съединения и торове","Операции, възложени на подизпълнители, свързани с производството на азотни съединения и торове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2015"
"20.16","20.16","Производство на полимери в първични форми","Полимери в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.1","Производство на полимери в първични форми","Полимери на етилена в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.2","Производство на полимери в първични форми","Полимери на стирена в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.3","Производство на полимери в първични форми","Полимери на винилхлорида или на други халогенирани олефини, в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.4","Производство на полимери в първични форми","Полиацетали, други полиестери и епоксидни смоли в първични форми; поликарбонати, алкидни смоли, алилни полиестери и други полиестери, в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.5","Производство на полимери в първични форми","Други полимери в първични форми; йонообменни смоли на основата на полимери",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.16","20.16.9","Производство на полимери в първични форми","Операции, възложени на подизпълнители, свързани с производството на полимери в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2016"
"20.17","20.17","Производство на синтетичен каучук в първични форми","Синтетичен каучук в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2017"
"20.17","20.17.1","Производство на синтетичен каучук в първични форми","Синтетичен каучук в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2017"
"20.17","20.17.9","Производство на синтетичен каучук в първични форми","Операции, възложени на подизпълнители, свързани с производството на синтетичен каучук в първични форми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2017"
"20.2","20.2","Производство на пестициди и други агрохимикали","Пестициди и други агрохимикали",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_202"
"20.20","20.20","Производство на пестициди и други агрохимикали","Пестициди и други агрохимикали",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2020"
"20.20","20.20.1","Производство на пестициди и други агрохимикали","Пестициди и други агрохимикали",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2020"
"20.20","20.20.9","Производство на пестициди и други агрохимикали","Операции, възложени на подизпълнители, свързани с производството на пестициди и други агрохимикали",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2020"
"20.3","20.3","Производство на бои, лакове и подобни продукти, печатарско мастило и китове","Бои, лакове и подобни продукти, печатарски мастила и китове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_203"
"20.30","20.30.2","Производство на бои, лакове и подобни продукти, печатарско мастило и китове","Други бои и лакове и подобни продукти; бои за художници; печатарски мастила",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2030"
"20.30","20.30.1","Производство на бои, лакове и подобни продукти, печатарско мастило и китове","Бои и лакове на базата на полимери",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2030"
"20.30","20.30.9","Производство на бои, лакове и подобни продукти, печатарско мастило и китове","Операции, възложени на подизпълнители, свързани с производството на бои, лакове и подобни продукти, печатарски мастила и китове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2030"
"20.30","20.30","Производство на бои, лакове и подобни продукти, печатарско мастило и китове","Бои, лакове и подобни продукти, печатарски мастила и китове",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2030"
"20.4","20.4","Производство на почистващи, миещи, тоалетни и козметични препарати","Сапун, миещи, почистващи и полиращи препарати, парфюми и тоалетни продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_204"
"20.41","20.41","Производство на сапун, миещи, почистващи и полиращи препарати","Сапун, миещи, почистващи и полиращи препарати",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.41","20.41.1","Производство на сапун, миещи, почистващи и полиращи препарати","Суров глицерол, глицеролови води и луги",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.41","20.41.2","Производство на сапун, миещи, почистващи и полиращи препарати","Повърхностно активни органични вещества, без сапуните",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.41","20.41.3","Производство на сапун, миещи, почистващи и полиращи препарати","Сапуни; перилни и почистващи препарати",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.41","20.41.4","Производство на сапун, миещи, почистващи и полиращи препарати","Препарати за ароматизиране; восъци",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.41","20.41.9","Производство на сапун, миещи, почистващи и полиращи препарати","Операции, възложени на подизпълнители, свързани с производството на сапун, миещи, почистващи и полиращи препарати",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2041"
"20.42","20.42.1","Производство на парфюми и тоалетни продукти","Парфюми и тоалетни продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2042"
"20.42","20.42.9","Производство на парфюми и тоалетни продукти","Операции, възложени на подизпълнители, свързани с производството на парфюми и тоалетни продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2042"
"20.42","20.42","Производство на парфюми и тоалетни продукти","Парфюми и тоалетни продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2042"
"20.5","20.5","Производство на други химични продукти","Други химични продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_205"
"20.51","20.51","Производство на експлозиви","Експлозиви",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2051"
"20.51","20.51.9","Производство на експлозиви","Операции, възложени на подизпълнители, свързани с производството на експлозиви",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2051"
"20.51","20.51.2","Производство на експлозиви","Кибрити",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2051"
"20.51","20.51.1","Производство на експлозиви","Експлозиви; бикфордови фитили; ударни или детонаторни капсули; възпламенители; електрически детонатори; изделия за фойерверки",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2051"
"20.52","20.52","Производство на лепила","Лепила",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2052"
"20.52","20.52.1","Производство на лепила","Лепила",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2052"
"20.52","20.52.9","Производство на лепила","Операции, възложени на подизпълнители, свързани с производството на лепила",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2052"
"20.53","20.53.1","Производство на етерични масла","Етерични масла",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2053"
"20.53","20.53.9","Производство на етерични масла","Операции, възложени на подизпълнители, свързани с производството на етерични масла",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2053"
"20.53","20.53","Производство на етерични масла","Етерични масла",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2053"
"20.59","20.59.4","Производство на други химични продукти, некласифицирани другаде","Смазочни препарати; добавки; антифризи",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.9","Производство на други химични продукти, некласифицирани другаде","Операции, възложени на подизпълнители, свързани с производството на други химични продукти, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.1","Производство на други химични продукти, некласифицирани другаде","Фотографски плаки и филми, фотографски филми за моментално проявяване и изготвяне на снимки; химически препарати и несмесени продукти за фотографски цели",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.2","Производство на други химични продукти, некласифицирани другаде","Животински или растителни мазнини и масла, химически модифицирани: негодни за консумация смеси на животински или растителни мазнини и масла",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.3","Производство на други химични продукти, некласифицирани другаде","Мастила, без печатарските",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.5","Производство на други химични продукти, некласифицирани другаде","Други разнообразни химични продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59.6","Производство на други химични продукти, некласифицирани другаде","Желатини и техните производни, вкл. млечен албумин",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.59","20.59","Производство на други химични продукти, некласифицирани другаде","Други химични продукти, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2059"
"20.6","20.6","Производство на изкуствени и синтетични влакна","Изкуствени и синтетични влакна",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_206"
"20.60","20.60.9","Производство на изкуствени и синтетични влакна","Операции, възложени на подизпълнители, свързани с производството на изкуствени и синтетични влакна",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2060"
"20.60","20.60.1","Производство на изкуствени и синтетични влакна","Синтетични влакна",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2060"
"20.60","20.60.2","Производство на изкуствени и синтетични влакна","Изкуствени влакна",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2060"
"20.60","20.60","Производство на изкуствени и синтетични влакна","Изкуствени и синтетични влакна",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2060"
"21","21","Производство на лекарствени вещества и продукти","Лекарствени вещества и продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_21"
"21.1","21.1","Производство на лекарствени вещества","Лекарствени вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_211"
"21.10","21.10.6","Производство на лекарствени вещества","Жлези и други органи; екстракти от тях; други субстанции от човешки или животински произход, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.1","Производство на лекарствени вещества","Салицилова киселина, О-ацетилсалицилова киселина, техните соли и естери",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.2","Производство на лекарствени вещества","Лизин, глутаминова киселина и техните соли; кватернерни амониеви соли и хидрооксиди; фосфоаминолипиди; амиди и техните производни и соли на тези продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.3","Производство на лекарствени вещества","Лактони, н.д., хетероциклени съединения, съдържащи само азотни хетероатоми, с некондензиран пиразолен пръстен, пиримидинов или пиперазинов пръстен, некондензиран триазинов пръстен или фенотианизови пръстени, без други кондензации; хидантоин и негови производни; сулфонамиди",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.4","Производство на лекарствени вещества","Химически чисти захари, н.д.; захарни етери, ацетали и естери и техни соли, н.д.",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.5","Производство на лекарствени вещества","Провитамини, витамини и хормони; гликозиди и растителни алкалоиди и техните производни; антибиотици",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10.9","Производство на лекарствени вещества","Операции, възложени на подизпълнители, свързани с производството на лекарствени вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.10","21.10","Производство на лекарствени вещества","Лекарствени вещества",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2110"
"21.2","21.2","Производство на лекарствени продукти","Лекарствени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_212"
"21.20","21.20","Производство на лекарствени продукти","Лекарствени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2120"
"21.20","21.20.1","Производство на лекарствени продукти","Лекарствени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2120"
"21.20","21.20.2","Производство на лекарствени продукти","Други лекарствени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2120"
"21.20","21.20.9","Производство на лекарствени продукти","Операции, възложени на подизпълнители, свързани с производството на лекарствени продукти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2120"
"22","22","Производство на изделия от каучук и пластмаси","Изделия от каучук и пластмаси",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_22"
"22.1","22.1","Производство на изделия от каучук","Изделия от каучук",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_221"
"22.11","22.11.2","Производство на външни и вътрешни гуми; регенериране на пневматични гуми","Регенерирани пневматични гуми от каучук",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2211"
"22.11","22.11.1","Производство на външни и вътрешни гуми; регенериране на пневматични гуми","Гуми, външни и вътрешни, нови",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2211"
"22.11","22.11.9","Производство на външни и вътрешни гуми; регенериране на пневматични гуми","Операции, възложени на подизпълнители, свързани с производството на външни и вътрешни гуми; регенерирани пневматични гуми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2211"
"22.11","22.11","Производство на външни и вътрешни гуми; регенериране на пневматични гуми","Гуми, външни и вътрешни; регенерирани пневматични гуми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2211"
"22.19","22.19.4","Производство на други изделия от каучук","Транспортни ленти или трансмисионни ремъци от вулканизиран каучук",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
"22.19","22.19.9","Производство на други изделия от каучук","Операции, възложени на подизпълнители, свързани с производството на други изделия от каучук",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
"22.19","22.19.1","Производство на други изделия от каучук","Регенериран каучук в първични форми или на плочи, листове или ленти",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
"22.19","22.19.2","Производство на други изделия от каучук","Невулканизиран каучук и изделия от него; невтвърден вулканизиран каучук, на нишки, въжета, плочи, листове, ленти, пръчки и профили",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
"22.19","22.19.3","Производство на други изделия от каучук","Тръби и маркучи от невтвърден вулканизиран каучук",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
"22.19","22.19.5","Производство на други изделия от каучук","Гумирани тъкани, различни от платната за пневматични гуми",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_2219"
