CN 2022,SupText,URI,Name
010391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",010391000080,0103 91 -- Weighing less than 50 kg
01039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",010391100080,0103 91 10 --- Domestic species
01039190,"Live non-domestic swine, weighing < 50 kg",010391900080,0103 91 90 --- Other
010392,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",010392000080,0103 92 -- Weighing 50 kg or more
01039211,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)",010392110080,"0103 92 11 ---- Sows having farrowed at least once, of a weight of not less than 160 kg"
01039219,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)",010392190080,0103 92 19 ---- Other
01039290,"Live non-domestic swine, weighing >= 50 kg",010392900080,0103 92 90 --- Other
0104,Live sheep and goats,010400000080,0104 Live sheep and goats
010410,Live sheep,010410000080,0104 10 - Sheep
01041010,Pure-bred sheep for breeding,010410100080,0104 10 10 -- Pure-bred breeding animals
01041030,"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)",010410300080,0104 10 30 --- Lambs (up to a year old)
01041080,Live sheep (excl. lambs and pure-bred breeding animals),010410800080,0104 10 80 --- Other
010420,Live goats,010420000080,0104 20 - Goats
01042010,Pure-bred breeding goats,010420100080,0104 20 10 -- Pure-bred breeding animals
01042090,Live goats (excl. pure-bred for breeding),010420900080,0104 20 90 -- Other
0105,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",010500000080,"0105 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
010511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",010511000080,0105 11 -- Fowls of the species Gallus domesticus
01051111,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g,010511110080,0105 11 11 ---- Laying stocks
01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),010511190080,0105 11 19 ---- Other
01051191,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)",010511910080,0105 11 91 ---- Laying stocks
01051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),010511990080,0105 11 99 ---- Other
01051200,"Live domestic turkeys, weighing <= 185 g",010512000080,0105 12 00 -- Turkeys
01051300,"Live domestic ducks, weighing <= 185 g",010513000080,0105 13 00 -- Ducks
01051400,"Live domestic geese, weighing <= 185 g",010514000080,0105 14 00 -- Geese
01051500,"Live domestic guinea fowls, weighing <= 185 g",010515000080,0105 15 00 -- Guinea fowls
01059400,"Live fowls of the species Gallus domesticus, weighing > 185",010594000080,0105 94 00 -- Fowls of the species Gallus domesticus
010599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",010599000080,0105 99 -- Other
