CN 2021,BEC Rev. 4,START,END
02044100,122,01/01/1988,31/12/2500
02044210,122,01/01/1988,31/12/2500
02044230,122,01/01/1988,31/12/2500
02044250,122,01/01/1988,31/12/2500
02044290,122,01/01/1988,31/12/2500
02044300,122,01/01/1988,31/12/1992
02044310,122,01/01/1993,31/12/2500
02044390,122,01/01/1993,31/12/2500
02045011,122,01/01/1988,31/12/2500
02045013,122,01/01/1988,31/12/2500
02045015,122,01/01/1988,31/12/2500
02045019,122,01/01/1988,31/12/2500
02045031,122,01/01/1988,31/12/2500
02045039,122,01/01/1988,31/12/2500
02045051,122,01/01/1988,31/12/2500
02045053,122,01/01/1988,31/12/2500
02045055,122,01/01/1988,31/12/2500
02045059,122,01/01/1988,31/12/2500
02045071,122,01/01/1988,31/12/2500
02045079,122,01/01/1988,31/12/2500
02050000,121,01/01/1988,31/12/1992
02050011,121,01/01/1993,31/12/2003
02050019,121,01/01/1993,31/12/2003
02050020,121,01/01/2004,31/12/2500
02050080,121,01/01/2004,31/12/2500
02050090,121,01/01/1993,31/12/2003
02061010,122,01/01/1988,31/12/2500
02061091,122,01/01/1988,31/12/2007
02061095,122,01/01/1988,31/12/2500
02061098,122,01/01/2008,31/12/2500
02061099,122,01/01/1988,31/12/2007
02062100,122,01/01/1988,31/12/2500
02062200,122,01/01/2001,31/12/2500
02062210,122,01/01/1988,31/12/2000
02062290,122,01/01/1988,31/12/2000
02062910,122,01/01/1988,31/12/2500
02062991,122,01/01/1988,31/12/2500
02062999,122,01/01/1988,31/12/2500
02063000,122,01/01/2004,31/12/2500
02063010,122,01/01/1988,31/12/2000
02063020,122,01/01/2001,31/12/2003
02063021,122,01/01/1988,31/12/2000
02063030,122,01/01/2001,31/12/2003
02063031,122,01/01/1988,31/12/2000
02063080,122,01/01/2001,31/12/2003
02063090,122,01/01/1988,31/12/2000
02064100,122,01/01/2004,31/12/2500
02064110,122,01/01/1988,31/12/2000
02064120,122,01/01/2001,31/12/2003
02064180,122,01/01/2001,31/12/2003
02064191,122,01/01/1988,31/12/2000
02064199,122,01/01/1988,31/12/2000
02064900,122,01/01/2008,31/12/2500
02064910,122,01/01/1988,31/12/2000
02064920,122,01/01/2001,31/12/2007
02064980,122,01/01/2001,31/12/2007
02064991,122,01/01/1988,31/12/2000
02064999,122,01/01/1988,31/12/2000
02068010,122,01/01/1988,31/12/2500
02068091,122,01/01/1988,31/12/2500
02068099,122,01/01/1988,31/12/2500
02069010,122,01/01/1988,31/12/2500
02069091,122,01/01/1988,31/12/2500
02069099,122,01/01/1988,31/12/2500
02071011,122,01/01/1988,31/12/1995
02071015,122,01/01/1988,31/12/1995
02071019,122,01/01/1988,31/12/1995
02071031,122,01/01/1988,31/12/1995
02071039,122,01/01/1988,31/12/1995
02071051,122,01/01/1988,31/12/1995
02071055,122,01/01/1988,31/12/1995
02071059,122,01/01/1988,31/12/1995
02071071,122,01/01/1988,31/12/1995
02071079,122,01/01/1988,31/12/1995
02071090,122,01/01/1988,31/12/1995
02071110,122,01/01/1996,31/12/2500
02071130,122,01/01/1996,31/12/2500
02071190,122,01/01/1996,31/12/2500
02071210,122,01/01/1996,31/12/2500
02071290,122,01/01/1996,31/12/2500
02071310,122,01/01/1996,31/12/2500
02071320,122,01/01/1996,31/12/2500
02071330,122,01/01/1996,31/12/2500
02071340,122,01/01/1996,31/12/2500
02071350,122,01/01/1996,31/12/2500
02071360,122,01/01/1996,31/12/2500
02071370,122,01/01/1996,31/12/2500
02071391,122,01/01/1996,31/12/2500
02071399,122,01/01/1996,31/12/2500
02071410,122,01/01/1996,31/12/2500
02071420,122,01/01/1996,31/12/2500
02071430,122,01/01/1996,31/12/2500
02071440,122,01/01/1996,31/12/2500
02071450,122,01/01/1996,31/12/2500
02071460,122,01/01/1996,31/12/2500
02071470,122,01/01/1996,31/12/2500
02071491,122,01/01/1996,31/12/2500
02071499,122,01/01/1996,31/12/2500
02072110,122,01/01/1988,31/12/1995
02072190,122,01/01/1988,31/12/1995
02072210,122,01/01/1988,31/12/1995
02072290,122,01/01/1988,31/12/1995
02072311,122,01/01/1988,31/12/1995
02072319,122,01/01/1988,31/12/1995
02072351,122,01/01/1988,31/12/1995
02072359,122,01/01/1988,31/12/1995
02072390,122,01/01/1988,31/12/1995
02072410,122,01/01/1996,31/12/2500
02072490,122,01/01/1996,31/12/2500
02072510,122,01/01/1996,31/12/2500
02072590,122,01/01/1996,31/12/2500
02072610,122,01/01/1996,31/12/2500
02072620,122,01/01/1996,31/12/2500
02072630,122,01/01/1996,31/12/2500
02072640,122,01/01/1996,31/12/2500
02072650,122,01/01/1996,31/12/2500
02072660,122,01/01/1996,31/12/2500
02072670,122,01/01/1996,31/12/2500
02072680,122,01/01/1996,31/12/2500
02072691,122,01/01/1996,31/12/2500
02072699,122,01/01/1996,31/12/2500
02072710,122,01/01/1996,31/12/2500
02072720,122,01/01/1996,31/12/2500
02072730,122,01/01/1996,31/12/2500
02072740,122,01/01/1996,31/12/2500
02072750,122,01/01/1996,31/12/2500
02072760,122,01/01/1996,31/12/2500
02072770,122,01/01/1996,31/12/2500
02072780,122,01/01/1996,31/12/2500
02072791,122,01/01/1996,31/12/2500
02072799,122,01/01/1996,31/12/2500
02073100,122,01/01/1988,31/12/1992
02073110,122,01/01/1993,31/12/1995
02073190,122,01/01/1993,31/12/1995
02073211,122,01/01/1996,31/12/2011
02073215,122,01/01/1996,31/12/2011
02073219,122,01/01/1996,31/12/2011
02073251,122,01/01/1996,31/12/2011
02073259,122,01/01/1996,31/12/2011
02073290,122,01/01/1996,31/12/2011
02073311,122,01/01/1996,31/12/2011
02073319,122,01/01/1996,31/12/2011
02073351,122,01/01/1996,31/12/2011
02073359,122,01/01/1996,31/12/2011
02073390,122,01/01/1996,31/12/2011
02073410,122,01/01/1996,31/12/2011
02073490,122,01/01/1996,31/12/2011
02073511,122,01/01/1996,31/12/2011
02073515,122,01/01/1996,31/12/2011
02073521,122,01/01/1996,31/12/2011
02073523,122,01/01/1996,31/12/2011
02073525,122,01/01/1996,31/12/2011
02073531,122,01/01/1996,31/12/2011
02073541,122,01/01/1996,31/12/2011
02073551,122,01/01/1996,31/12/2011
02073553,122,01/01/1996,31/12/2011
02073561,122,01/01/1996,31/12/2011
02073563,122,01/01/1996,31/12/2011
02073571,122,01/01/1996,31/12/2011
02073579,122,01/01/1996,31/12/2011
02073591,122,01/01/1996,31/12/2011
02073599,122,01/01/1996,31/12/2011
02073611,122,01/01/1996,31/12/2011
02073615,122,01/01/1996,31/12/2011
02073621,122,01/01/1996,31/12/2011
02073623,122,01/01/1996,31/12/2011
02073625,122,01/01/1996,31/12/2011
02073631,122,01/01/1996,31/12/2011
02073641,122,01/01/1996,31/12/2011
02073651,122,01/01/1996,31/12/2011
02073653,122,01/01/1996,31/12/2011
02073661,122,01/01/1996,31/12/2011
02073663,122,01/01/1996,31/12/2011
02073671,122,01/01/1996,31/12/2011
02073679,122,01/01/1996,31/12/2011
02073681,122,01/01/1996,31/12/2011
02073685,122,01/01/1996,31/12/2011
02073689,122,01/01/1996,31/12/2011
02073690,122,01/01/1996,31/12/2011
02073911,122,01/01/1988,31/12/1995
02073913,122,01/01/1988,31/12/1995
02073915,122,01/01/1988,31/12/1995
02073917,122,01/01/1988,31/12/1995
02073921,122,01/01/1988,31/12/1995
02073923,122,01/01/1988,31/12/1995
02073925,122,01/01/1988,31/12/1995
02073927,122,01/01/1988,31/12/1995
02073931,122,01/01/1988,31/12/1995
02073933,122,01/01/1988,31/12/1995
02073935,122,01/01/1988,31/12/1995
02073937,122,01/01/1988,31/12/1995
02073941,122,01/01/1988,31/12/1995
02073943,122,01/01/1988,31/12/1995
02073945,122,01/01/1988,31/12/1995
02073947,122,01/01/1988,31/12/1995
