"nace2","NAME","Parent","Include","Include_Also","Exclude"
"01.25","Anbau von sonstigem Obst und Nüssen","01.2","Diese Klasse umfasst: - Anbau von Beeren:   • Blaubeeren   • Johannisbeeren   • Stachelbeeren   • Chinesische Stachelbeeren (Kiwifrüchte)   • Himbeeren   • Erdbeeren   • andere Beeren - Anbau von Obstsamen: - Anbau von essbaren Nüssen:   • Mandeln   • Kaschunüsse   • Esskastanien   • Haselnüsse   • Pistazienkerne   • Walnüsse   • andere Nüsse - Anbau von sonstigem Baum- und Strauchobst   • Johannisbrotsamen",NA,"Diese Klasse umfasst nicht: - Anbau von Kokosnüssen (s. 01.26)"
"01.26","Anbau von ölhaltigen Früchten","01.2","Diese Klasse umfasst: - Anbau von ölhaltigen Früchten   • Kokosnüsse   • Oliven   • Ölpalmen   • sonstige ölhaltige Früchte",NA,"Diese Klasse umfasst nicht: - Anbau von Sojabohnen, Erdnüssen und anderen Ölsaaten (s. 01.11)"
"01.27","Anbau von Pflanzen zur Herstellung von Getränken","01.2","Diese Klasse umfasst: - Anbau von Pflanzen zur Herstellung von Getränken:   • Kaffee   • Tee   • Mate   • Kakao   • sonstige Pflanzen zur Herstellung von Getränken",NA,NA
"01.28","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","01.2","Diese Klasse umfasst: - Anbau von ein- und mehrjährigen Gewürz- und Duftpflanzen:   • Pfeffer (piper spp.)   • Paprika (Capsicum spp.)   • Muskatnüsse, Muskatblüte, Amomen und Kardamomen   • Anis-, Sternanis- und Fenchelfrüchte   • Zimt   • Gewürznelken   • Ingwer   • Vanille   • Hopfen   • sonstige Gewürz- und Duftpflanzen - Anbau von Pflanzen für die Gewinnung von Arzneimitteln und Drogen",NA,NA
"01.29","Anbau sonstiger mehrjähriger Pflanzen","01.2","Diese Klasse umfasst: - Anbau von Gummibäumen zur Gewinnung von Latex - Forstung von Weihnachtsbäumen - Forstung von Bäumen zur Gewinnung von Pflanzensäften - Anbau von Pflanzen von der vorwiegend als Flechtwerkstoff verwendeten Art",NA,"Diese Klasse umfasst nicht: - Anbau von Blumen, Erzeugung von Schnittblumen und Blütenknospen sowie Anbau von Blumensamen (s. 01.19) - Gewinnung von Pflanzensäften oder kautschukähnlichen Gummiarten aus wild wachsenden Bäumen (s. 02.30)"
"01.3","Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken","01",NA,NA,NA
"01.30","Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken","01.3","Diese Klasse umfasst die Erzeugung sämtlichen vegetativen Pflanzmaterials einschließlich Stecklinge, Wurzeltriebe und Setzlinge, entweder zur direkten Pflanzenvermehrung oder zur Erzeugung von Unterlagen zum Veredeln, auf die zum Zwecke des Nutzpflanzenbaus ausgewählte Pfropfreiser gesetzt werden.   Diese Klasse umfasst: - Erzeugung von Setz- und Stecklingen - Erzeugung von Zierpflanzen einschließlich Rollrasen - Erzeugung von lebenden Pflanzen, Bulben, Zwiebeln, Knollen, Wurzelknollen und –stöcken; Erzeugung von Stecklingen und Pfropfreisern; Erzeugung von Pilzmycel - Betrieb von Baumschulen, außer von Forstbaumschulen",NA,"Diese Klasse umfasst nicht: - Anbau von Pflanzen zum Zwecke der Erzeugung von Saatgut (s. 01.1, 01.2) - Betrieb von Forstbaumschulen (s. 02.10)"
"01.4","Tierhaltung","01","Diese Gruppe umfasst die Haltung und die Zucht sämtlicher Tiere, mit Ausnahme der Zucht und der Haltung von Wassertieren.",NA,"Diese Gruppe umfasst nicht: - Aufnahme von Pensionsvieh; Pflege von Nutztieren (s. 01.62) - Gewinnung von Fellen und Häuten in Schlachthäusern (s. 10.11)"
"01.41","Haltung von Milchkühen","01.4","Diese Klasse umfasst: - Zucht und Haltung von Milchkühen - Erzeugung von roher Kuh- und Büffelmilch",NA,"Diese Klasse umfasst nicht: - Milchverarbeitung (s. 10.51)"
"01.42","Haltung von anderen Rindern","01.4","Diese Klasse umfasst: - Zucht und Haltung von Schlachtrindern und -büffeln - Erzeugung von Rindersperma",NA,NA
"01.43","Haltung von Pferden und Eseln","01.4","Diese Klasse umfasst: - Zucht und Haltung von Pferden, Eseln, Maultieren und Mauleseln",NA,"Diese Klasse umfasst nicht: - Betrieb von Renn- und Reitställen (s. 93.19)"
"01.44","Haltung von Kamelen","01.4","Diese Klasse umfasst: - Zucht und Haltung von Dromedaren und Trampeltieren",NA,NA
"01.45","Haltung von Schafen und Ziegen","01.4","Diese Klasse umfasst: - Zucht und Haltung von Schafen und Ziegen - Erzeugung von roher Schaf- und Ziegenmilch - Erzeugung von Rohwolle",NA,"Diese Klasse umfasst nicht: - Schafschur im Lohnauftrag (s. 01.62) - Erzeugung von Hautwolle (s. 10.11) - Milchverarbeitung (s. 10.51)"
"01.46","Haltung von Schweinen","01.4",NA,NA,NA
"01.47","Haltung von Geflügel","01.4","Diese Klasse umfasst: - Zucht und Haltung von Geflügel:   • Hühner, Puten, Enten, Gänse und Perlhühner - Erzeugung von Geflügeleiern - Betrieb von Geflügelbrütereien",NA,"Diese Klasse umfasst nicht: - Gewinnung von Federn und Daunen (s. 10.12)"
"01.49","Sonstige Tierhaltung","01.4","Diese Klasse umfasst: - Zucht und Haltung von halb domestizierten und sonstigen lebenden Tieren:   • Strauße und Emus   • sonstige Vögel (ohne Geflügel)   • Insekten   • Kaninchen und sonstige Pelztiere - Gewinnung von Pelzfellen, Reptilienhäuten und Vogelbälgen in Tierfarmen - Betrieb von Wurmfarmen, Landmolluskenzuchten, Schneckenzuchten usw. - Zucht und Haltung von Seidenraupen; Erzeugung von Seidenraupenkokons - Imkerei - Zucht und Haltung von Haustieren (ohne Fische):   • Katzen und Hunde   • Vögel, z. B. Sittiche usw.   • Hamster usw. - Zucht und Haltung sonstiger Tiere",NA,"Diese Klasse umfasst nicht: - Gewinnung von Häuten und Fellen im Rahmen der Jagd und Fallenstellerei (s. 01.70) - Betrieb von Froschfarmen, Krokodilfarmen, Meereswürmerfarmen (s. 03.21, 03.22) - Betrieb von Fischfarmen (s. 03.21, 03.22) - Aufnahme und Dressur von Haustieren (s. 96.09) - Zucht und Haltung von Geflügel (s. 01.47)"
"01.5","Gemischte Landwirtschaft","01",NA,NA,NA
"01.50","Gemischte Landwirtschaft","01.5","Diese Klasse umfasst die Kombination von Pflanzenbau und Tierhaltung ohne ausgeprägten Schwerpunkt. Der Gesamtumfang der landwirtschaftlichen Tätigkeit ist nicht entscheidend. Macht der Pflanzenbau oder die Tierhaltung in einem landwirtschaftlichen Betrieb mehr als 66 % des Standarddeckungsbeitrags aus, so ist die Gesamttätigkeit nicht dieser Klasse zuzurechnen, sondern entweder dem Pflanzenbau oder der Tierhaltung.",NA,"Diese Klasse umfasst nicht: - gemischte pflanzliche Erzeugung (s. Gruppen 01.1 und 01.2) - gemischte tierische Erzeugung (s. Gruppe 01.4)"
"01.6","Erbringung von landwirtschaftlichen Dienstleistungen","01","Diese Gruppe umfasst Tätigkeiten, die mit der landwirtschaftlichen Produktion verbunden sind, sowie der Landwirtschaft ähnelnde Tätigkeiten, die nicht zu Produktionszwecken (im Sinne der Gewinnung landwirtschaftlicher Erzeugnisse) unternommen werden, im Lohnauftrag.","Eingeschlossen sind auch nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung, die der Aufbereitung landwirtschaftlicher Erzeugnisse für den Rohstoffmarkt dienen.",NA
"01.61","Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau","01.6","Diese Klasse umfasst: - Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau im Lohnauftrag:   • Vorbereitung von Feldern   • Anlage von Kulturen   • Behandlung von Kulturen   • Besprühen von Kulturen, auch aus der Luft   • Beschneiden von Obstbäumen und Reben   • Umpflanzen von Reis; Vereinzeln von Rüben   • Ernten   • Schädlingsbekämpfung (einschließlich Kaninchenbekämpfung) in der Landwirtschaft - Erhaltung landwirtschaftlicher Flächen in gutem landwirtschaftlichen und ökologischen Zustand - Betrieb von landwirtschaftlichen Bewässerungsanlagen","Diese Klasse umfasst ferner: - Bereitstellung von landwirtschaftlichen Maschinen mit Bedienungspersonal","Diese Klasse umfasst nicht: - Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung (s. 01.63) - Entwässerung von landwirtschaftlichen Flächen (s. 43.12) - Landschaftsgestaltung (s. 71.11) - Agrarwissenschaftliche und agrarwirtschaftliche Tätigkeiten (s. 74.90) - Landschaftsgärtnerei (s. 81.30) - Durchführung von Landwirtschaftsschauen und Messen (s. 82.30)"
"01.62","Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung","01.6","Diese Klasse umfasst: - Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung im Lohnauftrag:   • Tätigkeiten zur Förderung von Vermehrung, Wachstum und Leistung von Tieren   • Herdenprüfung, Viehtreiben, Bereitstellung von Weiden, Kapaunisieren, Stallreinigung usw.   • mit künstlicher Besamung verbundene Tätigkeiten   • Deckdienste   • Schafschur   • Aufnahme von Pensionsvieh; Pflege von Nutztieren","Diese Klasse umfasst ferner: - Tätigkeiten von Hufschmiedetätigkeiten","Diese Klasse umfasst nicht: - Bereitstellung von Flächen und Gebäuden ausschließlich für die Aufnahme von Vieh (s. 68.20) - Veterinärwesen (s. 75.00) - Impfen von Tieren (s. 75.00) - Vermietung von Tieren (z. B. Herden) (s. 77.39) - Aufnahme von Haustieren in Tierpensionen (s. 96.09)"
"01.63","Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung","01.6","Diese Klasse umfasst: - Aufbereitung pflanzlicher Erzeugnisse für die Rohstoffmärkte, z. B. Reinigen, Beschneiden, Sortieren, Desinfizieren - Baumwollentkörnung - Aufbereitung von Tabakblättern, z. B. Trocknen - Aufbereitung von Kakaobohnen, z. B. Schälen - Wachsen von Obst",NA,"Diese Klasse umfasst nicht: - Aufbereitung landwirtschaftlicher Erzeugnisse durch den Erzeuger (s. entsprechende Klasse in den Gruppen 01.1, 01.2 und 01.3) - nach der Ernte anfallende Tätigkeiten zur Saatgutverbesserung (s. 01.64) - Entrippen und Redrying von Tabak (s. 12.00) - Vermarktungstätigkeiten von Handelsagenten und Genossenschaften (s. Abteilung 46) - Großhandel mit landwirtschaftlichen Grundstoffen (s. 46.2)"
"01.64","Saatgutaufbereitung","01.6","Diese Klasse umfasst alle nach der Ernte anfallenden Tätigkeiten zur Saatgutverbesserung durch Entfernen von Fremdstoffen, zu kleiner, mechanisch oder von Insekten beschädigter oder unreifer Samen sowie durch Trocknung des Saatgutes bis auf ein für die Lagerung unschädliches Niveau. Diese Tätigkeit umfasst das Trocknen, Reinigen, Sortieren und Behandeln von Saatgut bis zur Vermarktung. Eingeschlossen ist die Behandlung von gentechnisch verändertem Saatgut.",NA,"Diese Klasse umfasst nicht: - Anbau von Saatgut (s. Gruppen 01.1 und 01.2) - Verarbeitung von Saatgut zur Gewinnung von Öl (s. 10.41) - Forschungstätigkeiten zur Entwicklung neuer Formen von Saatgut (s. 72.11)"
"01.7","Jagd, Fallenstellerei und damit verbundene Tätigkeiten","01",NA,NA,NA
"01.70","Jagd, Fallenstellerei und damit verbundene Tätigkeiten","01.7","Diese Klasse umfasst: - kommerzielle Jagd und Fallenstellerei - Fangen und/oder Erlegen von Tieren zur Gewinnung von Fleisch, Häuten und Fellen, zu Forschungszwecken, als Haustiere oder für Zoos - Gewinnung von Pelzfellen, Reptilienhäuten und Vogelbälgen im Rahmen der Jagd und Fallenstellerei","Diese Klasse umfasst ferner: - Fang von Meeressäugetieren wie Walrosse und Robben an Land","Diese Klasse umfasst nicht: - Gewinnung von Pelzfellen, Reptilienhäuten und Vogelbälgen in Tierfarmen (s. 01.49) - Haltung von Wildtieren in Tierfarmen (s. 01.4) - Walfang (s. 03.11) - Gewinnung von Fellen und Häuten in Schlachthäusern (s. 10.11) - Jagd zu Sport- oder Erholungszwecken und damit verbundene Dienstleistungen (s. 93.19) - Dienstleistungen zur Förderung der Jagd und Fallenstellerei (s. 94.99)"
"02","Forstwirtschaft und Holzeinschlag","A","Diese Abteilung umfasst die Erzeugung von Stammholz sowie die Gewinnung und Sammlung von wild wachsenden Erzeugnissen des Waldes. Hinzu kommen geringfügig bearbeitete Erzeugnisse wie Brennholz, Holzkohle oder Industrieholz (z. B. Grubenholz, Papierholz usw.). Diese Tätigkeiten können sowohl in natürlichen als auch in angepflanzten Wäldern ausgeführt werden.",NA,"Ausgeschlossen ist die Weiterverarbeitung von Holz, angefangen bei Säge- und Hobelwerken (s. Abteilung 16)."
"02.1","Forstwirtschaft","02",NA,NA,NA
"02.10","Forstwirtschaft","02.1","Diese Klasse umfasst: - Erzeugung von Stammholz: Erstaufforstung, Wiederaufforstung, Durchforstung und Waldpflege - Forstung von Niederwald, Papierholz und Feuerholz - Betrieb von Forstbaumschulen  Diese Tätigkeiten können sowohl in natürlichen als auch in angepflanzten Wäldern ausgeführt werden.",NA,"Diese Klasse umfasst nicht: - Forstung von Weihnachtsbäumen (s. 01.29) - Betrieb von Baumschulen, außer von Forstbaumschulen (s. 01.30) - Sammeln von Pilzen und anderem wild wachsenden Waldmaterial (s. 02.30) - Herstellung von Holzschnitzeln und -plättchen (s. 16.10)"
"02.2","Holzeinschlag","02",NA,NA,NA
"02.20","Holzeinschlag","02.2","Diese Klasse umfasst: - Erzeugung von Stammholz für die Holzverarbeitung - Erzeugung von Rohholz, z. B. Grubenholz, Zaunpfählen und Leitungsmasten - Sammeln und Erzeugung von Holz für die Energieerzeugung - Sammeln von Rückständen (z. B. Reisig, Schnitzeln u. ä. Brennholz), die beim Holzanschlag anfallenden, für die Energieerzeugung - Erzeugung von Holzkohle im Wald (anhand traditioneller Verfahren)  Produktionsergebnis dieser Tätigkeit sind Stämme oder Brennholz.",NA,"Diese Klasse umfasst nicht: - Forstung von Weihnachtsbäumen (s. 01.29) - Erzeugung von Stammholz: Erstaufforstung, Wiederaufforstung, Durchforstung und Waldpflege (s. 02.10) - Sammeln von anderem wild wachsenden Waldmaterial (s. 02.30) - Herstellung von Holzschnitzeln und -plättchen (s. 16.10) - Erzeugung von Holzkohle durch Holzdestillation (s. 20.14)"
"02.3","Sammeln von wildwachsenden Produkten (ohne Holz)","02",NA,NA,NA
"02.30","Sammeln von wildwachsenden Produkten (ohne Holz)","02.3","Diese Klasse umfasst: - Sammeln von wild wachsenden Erzeugnissen:   • Pilze, Trüffeln   • Beeren   • Nüsse   • Balata und andere kautschukähnliche Gummiarten   • Kork   • Schellack und Harze   • Balsame   • Pflanzenhaar   • Seegras   • Eicheln, Rosskastanien   • Moose und Flechten",NA,"Diese Klasse umfasst nicht: - Anbau dieser Erzeugnisse (außer Forstung von Korkbäumen) (s. Abteilung 01) - Anbau von Pilzen und Trüffeln (s. 01.13) - Anbau von Beeren und Nüssen (s. 01.25) - Sammeln von Brennholz (s. 02.20) - Herstellung von Holzschnitzeln (s. 16.10)"
"02.4","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag","02",NA,NA,NA
"02.40","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag","02.4","Diese Klasse umfasst auch die Ausübung eines Teils der fortwirtschaftlichen Tätigkeit im Lohnauftrag.  Diese Klasse umfasst: - Erbringung von Dienstleistungen für die Forstwirtschaft:   • Waldbestandsaufnahme   • forstwirtschaftliche Beratungsleistungen   • Holztaxierung   • Waldbrandbekämpfung und -schutz   • Schädlingsbekämpfung in der Forstwirtschaft - Erbringung von Dienstleistungen für die Holzgewinnung:   • Transport von Stämmen im Wald",NA,"Diese Klasse umfasst nicht: - Betrieb von Forstbaumschulen (s. 02.10) - Entwässerung von forstwirtschaftlichen Flächen (s. 43.12) - Abräumen von Baustellen (s. 43.12)"
"03","Fischerei und Aquakultur","A","Diese Abteilung umfasst den Fischfang und die Aquakultur, d. h. die Nutzung der Fischereiressourcen aus dem Meer-, Brack- oder Süßwasser zum Zwecke des Fischfangs und des Sammelns von Krusten- und Weichtieren und anderen Meeresprodukten (z. B. Wasserpflanzen, Perlen, Schwämme usw.).","Ferner umfasst diese Abteilung Tätigkeiten, die gewöhnlich in die Produktion auf eigene Rechnung integriert sind (z. B. Austernzucht zur Produktion von Perlen). Die Erbringung von Dienstleistungen, die mit der Fischerei und Aquakultur im Süß- und Meereswasser verbunden sind, sind den entsprechenden Fischerei- und Aquakulturtätigkeiten zuzuordnen.","Nicht zu dieser Abteilung zählen der Bau und die Reparatur von Schiffen und Booten (s. 30.1 und 33.15) sowie die Sport- und Freizeitfischerei (s. 93.19). Ausgenommen ist auch die Verarbeitung von Fisch, Krusten- und Weichtieren, unabhängig davon, ob sie in Anlagen an Land oder auf Fabrikschiffen erfolgt (s. 10.20)."
"03.1","Fischerei","03","Diese Gruppe umfasst den ""Fischfang"", d. h. die Jagd nach und das Sammeln zum Zwecke der Entnahme von wild lebenden Wassertieren (vor allem Fischen, Krusten- und Weichtieren) einschließlich Pflanzen aus den Meeres-, Küsten- oder Binnengewässern zum Verzehr durch den Menschen und zu anderen Zwecken, mit der Hand oder häufiger mit verschiedenen Fischfanggeräten, z. B. Netzen, Angeln oder Fallen, in stehendem Gewässer. Derartige Tätigkeiten können in der Gezeitenlinie ausgeübt werden (z. B. Sammeln von Weichtieren wie Muscheln und Austern), von der Küste aus, von selbst gebauten Unterständen aus, oder aber, was gewöhnlich der Fall ist, durch den Einsatz kommerzieller Schiffe und Boote als Küsten- oder Hochseefischerei. Solche Tätigkeiten umfassen auch das Fischen in Gewässern mit künstlichem Fischbesatz.",NA,NA
"03.11","Meeresfischerei","03.1","Diese Klasse umfasst: - kommerzielle Hochsee- und Küstenfischerei - Fang von Meereskrusten- und -weichtieren - Walfang - Fang von Meerestieren: Schildkröten, Seescheiden und andere Manteltiere, Seeigel usw.","Diese Klasse umfasst ferner: - Tätigkeiten von Spezialschiffen für Fischfang und Fischverarbeitung/-konservierung - Sammeln sonstiger Meerestiere und –materialien: Naturperlen, Schwämme, Korallen und Algen","Diese Klasse umfasst nicht: - Fang von Meeressäugetieren, mit Ausnahme von Walen, z. B. Walrosse und Robben (s. 01.70) - Verarbeitung von Walen auf Fabrikschiffen (s. 10.11) - Verarbeitung von Fischen, Krusten- und Weichtieren auf Fabrikschiffen oder in Fabriken an Land (s. 10.20) - Vermietung von Vergnügungsschiffen mit Besatzung für den Hochsee- und Küstenverkehr (z. B. für Fischfangfahrten) (s. 50.10) - Tätigkeiten der Fischereiinspektion und des Fischereischutzes sowie Patrouillendienste (s. 84.24) - Sport- und Freizeitfischerei und damit verbundene Dienstleistungen (s. 93.19) - Betrieb von Fischteichen für Sportfischerei (s. 93.19)"
"03.12","Süßwasserfischerei","03.1","Diese Klasse umfasst: - kommerzielle Binnenfischerei - Fang von Süßwassermollusken und –weichtieren - Fang von Binnenwassertieren","Diese Klasse umfasst ferner: - Sammeln von Süßwassererzeugnissen","Diese Klasse umfasst nicht: - Fischverarbeitung (s. 10.20) - Tätigkeiten der Fischereiinspektion und des Fischereischutzes sowie Patrouillendienste (s. 84.24) - Sport- und Freizeitfischerei und damit verbundene Dienstleistungen (s. 93.19) - Betrieb von Fischteichen für Sportfischerei (s. 93.19)"
"03.2","Aquakultur","03","Diese Gruppe umfasst die Aquakultur, d. h. den Produktionsprozess der Zucht bzw. des Anbaus und des Fangs bzw. der Ernte von Meeresorganismen (Fischen, Krusten- und Weichtieren, Pflanzen, Krokodilen, Alligatoren und Amphibien) unter Einsatz von Techniken, die die Produktion der betreffenden Organismen über die natürliche Kapazität des Lebensraums hinaus steigern (z. B. regelmäßiger Besatz, Füttern und Schutz vor Räubern).   Anbau/Zucht umfasst die Aufzucht der genannten Organismen in Gefangenschaft bis zum Jungtieralter oder bis sie ausgewachsen sind.","Ferner umfasst Aquakultur auch das Eigentum von Einzelpersonen, Unternehmen oder des Staates an einzelnen Organismen während der Aufzucht- oder Anbauphase bis hin zur und einschließlich der Ernte.",NA
