"nace2","NAME","Parent","Include","Include_Also","Exclude"
"01","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","A","Diese Abteilung umfasst die beiden Tätigkeitsbereiche Gewinnung pflanzlicher Erzeugnisse und Gewinnung tierischer Erzeugnisse. Sie umfasst ferner die ökologische Landwirtschaft sowie den Anbau gentechnisch veränderter Nutzpflanzen und die Haltung gentechnisch veränderter Nutztiere. Diese Abteilung umfasst Freiland- wie auch Gewächshauskulturen.  Gruppe 01.5 (Gemischte Landwirtschaft) bildet eine Ausnahme von den Grundregeln zur Bestimmung der Haupttätigkeit. Man geht hier davon aus, dass in zahlreichen landwirtschaftlichen Betrieben ein Gleichgewicht zwischen pflanzlicher und tierischer Erzeugung besteht und es willkürlich wäre, sie in die eine oder die andere Kategorie einzuordnen.","Ferner in dieser Abteilung eingeschlossen sind die Erbringung von mit der Landwirtschaft und der kommerziellen Jagd verbundenen Dienstleistungen sowie die Fallenstellerei und damit verbundene Tätigkeiten.","Nicht zur Landwirtschaft gerechnet wird die nachfolgende Verarbeitung landwirtschaftlicher Erzeugnisse (eingeordnet in Abteilung 10 (Herstellung von Nahrungs- und Futtermitteln) und Abteilung 12 (Tabakverarbeitung)), die über die Aufbereitung für die Rohstoffmärkte hinausgeht. Eingeschlossen ist die Aufbereitung von Erzeugnissen für die Rohstoffmärkte.  Nicht zur Landwirtschaft gerechnet werden ferner die Anlage von Feldern (z. B. Terrassierung und Entwässerung von Landwirtschaftsflächen, Anlage von Reisfeldern usw.), die in Abschnitt F (Baugewerbe/Bau) eingeordnet ist, sowie die in Abschnitt G eingeordneten Einkaufsvereinigungen und Genossenschaften, welche landwirtschaftliche Erzeugnisse vermarkten. Ferner nicht eingeschlossen sind die Landschaftspflege und Landschaftserhaltung, die zur Klasse 81.30 zählen."
"01.1","Anbau einjähriger Pflanzen","01","Diese Gruppe umfasst den Anbau einjähriger Pflanzen, d. h. von Pflanzen mit einer Lebensdauer von zwei oder weniger Wachstumsperioden. Eingeschlossen ist der Anbau dieser Pflanzen zum Zwecke der Erzeugung von Saatgut.",NA,NA
"01.11","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","01.1","Diese Klasse umfasst alle Arten des Anbaus von Getreide, Hülsenfrüchten und Ölsaaten im Freiland. Diese Pflanzen werden in landwirtschaftlichen Betrieben häufig nebeneinander angebaut.  Diese Klasse umfasst: - Anbau von Getreide, z. B.:   • Weizen   • Körnermais   • Sorghum   • Gerste   • Roggen   • Hafer   • Hirsearten   • sonstiges Getreide a. n. g. - Anbau von Hülsenfrüchten, z. B.:   • Bohnen   • Puffbohnen   • Kichererbsen   • Kuhbohnen   • Linsen   • Lupinen   • Erbsen   • Straucherbsen   • sonstige Hülsenfrüchte - Anbau von Ölsaaten, z. B.:   • Sojabohnen   • Erdnüsse   • Rizinussamen   • Leinsamen   • Senfkörner   • Nigersaat   • Rapssamen   • Saflorsaat   • Sesamsamen   • Sonnenblumenkerne   • andere Ölsaaten",NA,"Diese Klasse umfasst nicht: - Anbau von Reis (s. 01.12) - Anbau von Zuckermais (s. 01.13) - Anbau von Futtermais (s. 01.19) - Anbau von ölhaltigen Früchten (s. 01.26)"
"01.12","Anbau von Reis","01.1",NA,NA,NA
"01.13","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen","01.1","Diese Klasse umfasst: - Anbau von Blatt- oder Stängelgemüse, z. B.:   • Artischocken   • Spargel   • Kohl   • Blumenkohl und Broccoli   • Kopfsalat und Chicorée   • Spinat   • anderes Blatt- oder Stängelgemüse - Anbau von Fruchtgemüse, z. B.:   • Gurken und Cornichons   • Eierfrüchte (Auberginen/Melanzani)   • Tomaten   • Wassermelonen   • Zuckermelonen/Honigmelonen   • sonstige Melonen und sonstiges Fruchtgemüse - Anbau von Wurzel-, Zwiebel- oder Knollengemüse, z. B.:   • Möhren/Karotten   • Speiserüben   • Knoblauch   • Zwiebeln (einschl. Schalotten)   • Porree/Lauch und andere Gemüse der Allium-Arten   • sonstiges Wurzel-, Zwiebel- oder Knollengemüse - Anbau von Pilzen und Trüffeln - Anbau von Gemüsesamen einschließlich Saatgut für Zuckerrüben, jedoch ohne Saatgut für sonstige Rüben - Anbau von Zuckerrüben - Anbau von sonstigem Gemüse - Anbau von Wurzeln und Knollen, z. B.:   • Kartoffeln   • Süßkartoffeln, Bataten   • Maniok, Kassava   • Yamswurzeln   • sonstige Wurzeln und Knollen",NA,"Diese Klasse umfasst nicht: - Anbau von Paprika (Capsicum spp.) und sonstigen Gewürz- und Duftpflanzen (s. 01.28) - Anbau von Pilzmycel (s. 01.30)"
"01.14","Anbau von Zuckerrohr","01.1",NA,NA,"Diese Klasse umfasst nicht: - Anbau von Zuckerrüben (s. 01.13)"
"01.15","Anbau von Tabak","01.1",NA,NA,"Diese Klasse umfasst nicht: - Tabakverarbeitung (s. 12.00)"
"01.16","Anbau von Faserpflanzen","01.1","Diese Klasse umfasst: - Anbau von Baumwolle - Anbau von Jute, Kenaf und sonstigen textilen Bastfasern - Anbau von Flachs und Hanf - Anbau von Sisal und sonstigen textilen Agavefasern - Anbau von Abaca, Ramie und sonstigen pflanzlichen Spinnstoffen - Anbau sonstiger Faserpflanzen",NA,NA
"01.19","Anbau von sonstigen einjährigen Pflanzen","01.1","Diese Klasse umfasst den Anbau aller sonstigen einjährigen Pflanzen: - Steckrüben, Futterrüben, Wurzeln zu Futterzwecken, Klee, Luzerne, Esparsette, Futtermais und sonstige Gräser, Futterkohl und ähnliches Futter - Anbau von Blumen - Samen von Rüben (außer von Zuckerrüben) und von Futterpflanzen - Blumen- Schnittblumen und Blütenknospen - Blumensamen",NA,"Diese Klasse umfasst nicht: - Anbau von einjährigen Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke (s. 01.28)"
"01.2","Anbau mehrjähriger Pflanzen","01","Diese Gruppe umfasst den Anbau von mehrjährigen Pflanzen, d. h. Pflanzen, die mehr als zwei Wachstumsperioden überleben und die entweder nach jeder Periode absterben oder die kontinuierlich weiter wachsen. Ebenfalls dazu zählt der Anbau dieser Pflanzen zum Zwecke der Saatguterzeugung.",NA,NA
"01.21","Anbau von Wein- und Tafeltrauben","01.2","Diese Klasse umfasst: - Anbau von Wein- und Tafeltrauben in Rebanlagen",NA,"Diese Klasse umfasst nicht: - Herstellung von Traubenwein (s. 11.02)"
"01.22","Anbau von tropischen und subtropischen Früchten","01.2","Diese Klasse umfasst: - Anbau von tropischen und subtropischen Früchten:   • Avocados   • Bananen und Mehlbananen   • Datteln   • Feigen   • Mangofrüchte   • Papayafrüchte   • Ananas   • andere tropische und subtropische Früchte",NA,NA
"01.23","Anbau von Zitrusfrüchten","01.2","Diese Klasse umfasst: - Anbau von Zitrusfrüchten:   • Pampelmusen, Pomelos und Grapefruits   • Zitronen und Limetten   • Orangen   • Tangerinen, Mandarinen, Klementinen   • andere Zitrusfrüchte",NA,NA
"01.24","Anbau von Kern- und Steinobst","01.2","Diese Klasse umfasst: - Anbau von Kern- und Steinobst:   • Äpfel   • Aprikosen/Marillen   • Kirschen   • Pfirsiche und Nektarinen   • Birnen und Quitten   • Pflaumen/Zwetschken und Schlehen   • anderes Kern- und Steinobst",NA,NA
