"ISIC Rev. 4","CPC 2.1","ISIC4partial","CPC21partial"
"0111","01111","1","0"
"0111","01112","1","0"
"0111","01121","1","0"
"0111","01122","1","0"
"0111","01141","1","0"
"0111","01142","1","0"
"0111","01151","1","0"
"0111","01152","1","0"
"0111","01161","1","0"
"0111","01162","1","0"
"0111","01171","1","0"
"0111","01172","1","0"
"0111","01181","1","0"
"0111","01182","1","0"
"0111","01191","1","0"
"0111","01192","1","0"
"0111","01193","1","0"
"0111","01194","1","0"
"0111","01195","1","0"
"0111","01199","1","0"
"0111","01241","1","0"
"0111","01242","1","0"
"0111","01243","1","0"
"0111","01249","1","0"
"0111","01411","1","0"
"0111","01412","1","0"
"0111","01421","1","0"
"0111","01422","1","0"
"0111","01431","1","0"
"0111","01432","1","0"
"0111","01441","1","0"
"0111","01442","1","0"
"0111","01443","1","0"
"0111","01444","1","0"
"0111","01445","1","0"
"0111","01446","1","0"
"0111","01447","1","0"
"0111","01448","1","0"
"0111","01449","1","0"
"0111","01701","1","0"
"0111","01702","1","0"
"0111","01703","1","0"
"0111","01704","1","0"
"0111","01705","1","0"
"0111","01706","1","0"
"0111","01707","1","0"
"0111","01708","1","0"
"0111","01709","1","0"
"0111","01913","1","0"
"0111","86113","1","1"
"0112","01131","1","0"
"0112","01132","1","0"
"0112","86113","1","1"
"0113","01211","1","0"
"0113","01212","1","0"
"0113","01213","1","0"
"0113","01214","1","0"
"0113","01215","1","0"
"0113","01216","1","0"
"0113","01219","1","0"
"0113","01221","1","0"
"0113","01229","1","0"
"0113","01232","1","0"
"0113","01233","1","0"
"0113","01234","1","0"
"0113","01235","1","0"
"0113","01239","1","0"
"0113","01251","1","0"
"0113","01252","1","0"
"0113","01253","1","0"
"0113","01254","1","0"
"0113","01259","1","0"
"0113","01260","1","0"
"0113","01270","1","1"
"0113","01290","1","0"
"0113","01510","1","0"
"0113","01520","1","0"
"0113","01530","1","0"
"0113","01540","1","0"
"0113","01550","1","0"
"0113","01591","1","0"
"0113","01599","1","0"
"0113","01801","1","0"
"0113","01803","1","0"
"0113","86113","1","1"
"0114","01802","0","0"
"0114","86113","1","1"
"0115","01970","0","0"
"0115","86113","1","1"
"0116","01921","1","0"
"0116","01922","1","0"
"0116","01929","1","0"
"0116","86113","1","1"
"0119","01911","1","0"
"0119","01912","1","0"
"0119","01919","1","0"
"0119","01940","1","0"
"0119","01962","1","0"
"0119","01963","1","0"
"0119","01990","1","1"
"0119","86113","1","1"
"0121","01330","0","0"
"0121","86113","1","1"
"0122","01311","1","0"
"0122","01312","1","0"
"0122","01313","1","0"
"0122","01314","1","0"
"0122","01315","1","0"
"0122","01316","1","0"
"0122","01317","1","0"
"0122","01318","1","0"
"0122","01319","1","0"
"0122","86113","1","1"
"0123","01321","1","0"
"0123","01322","1","0"
"0123","01323","1","0"
"0123","01324","1","0"
"0123","01329","1","0"
"0123","86113","1","1"
"0124","01341","1","0"
"0124","01342","1","0"
"0124","01343","1","0"
"0124","01344","1","0"
"0124","01345","1","0"
"0124","01346","1","0"
"0124","01349","1","0"
"0124","86113","1","1"
"0125","01351","1","0"
"0125","01352","1","0"
"0125","01353","1","0"
"0125","01354","1","0"
"0125","01355","1","1"
"0125","01356","1","0"
"0125","01359","1","0"
"0125","01360","1","0"
"0125","01371","1","0"
"0125","01372","1","0"
"0125","01373","1","0"
"0125","01374","1","0"
"0125","01375","1","0"
"0125","01376","1","0"
"0125","01377","1","0"
"0125","01379","1","0"
"0125","01809","1","1"
"0125","86113","1","1"
"0126","01450","1","0"
"0126","01460","1","0"
"0126","01491","1","0"
"0126","01492","1","0"
"0126","01499","1","0"
"0126","86113","1","1"
"0127","01610","1","0"
"0127","01620","1","0"
"0127","01630","1","0"
"0127","01640","1","0"
"0127","86113","1","1"
"0128","01231","1","0"
"0128","01651","1","0"
"0128","01652","1","0"
"0128","01653","1","0"
"0128","01654","1","0"
"0128","01655","1","0"
"0128","01656","1","0"
"0128","01657","1","0"
"0128","01658","1","0"
"0128","01659","1","0"
"0128","01691","1","0"
"0128","01699","1","0"
"0128","01930","1","0"
"0128","86113","1","1"
"0129","01809","1","1"
"0129","01950","1","1"
"0129","01990","1","1"
"0129","03241","1","0"
"0129","03250","1","0"
"0129","86113","1","1"
"0130","01961","0","0"
"0130","86113","0","1"
"0141","02111","1","0"
"0141","02112","1","0"
"0141","02119","1","0"
"0141","02211","1","0"
"0141","02212","1","0"
"0141","02411","1","0"
"0141","02420","1","1"
"0141","02943","1","1"
"0141","34654","1","1"
"0141","86121","1","0"
"0142","02131","1","0"
"0142","02132","1","0"
"0142","02133","1","0"
"0142","02299","1","1"
"0142","02420","1","1"
"0142","34654","1","1"
"0142","86121","1","0"
"0143","02121","1","0"
"0143","02293","1","0"
"0143","02943","1","1"
"0143","34654","1","1"
"0143","86121","1","0"
"0144","02122","1","0"
"0144","02123","1","0"
"0144","02291","1","0"
"0144","02292","1","0"
"0144","02419","1","1"
"0144","02941","1","0"
"0144","02942","1","0"
"0144","02943","1","1"
"0144","34654","1","1"
"0144","86121","1","0"
"0145","02140","1","0"
"0145","02419","1","1"
"0145","34654","1","1"
"0145","86121","1","0"
"0146","02151","1","0"
"0146","02152","1","0"
"0146","02153","1","0"
"0146","02154","1","1"
"0146","02155","1","0"
"0146","02311","1","0"
"0146","02312","1","0"
"0146","02321","1","1"
"0146","02322","1","1"
"0146","34654","1","1"
"0146","86121","1","0"
"0149","02129","1","1"
"0149","02191","1","1"
"0149","02192","1","1"
"0149","02193","1","0"
"0149","02194","1","1"
"0149","02195","1","0"
"0149","02196","1","0"
"0149","02199","1","1"
"0149","02299","1","1"
"0149","02321","1","1"
"0149","02322","1","1"
"0149","02419","1","1"
"0149","02910","1","0"
"0149","02920","1","0"
"0149","02930","1","0"
"0149","02943","1","1"
"0149","02944","1","0"
"0149","34654","1","1"
"0149","86121","1","0"
"0161","86119","0","0"
"0162","86122","0","0"
"0163","86111","0","0"
"0164","86112","0","0"
"0170","02129","1","1"
"0170","02154","1","1"
"0170","02191","1","1"
"0170","02192","1","1"
"0170","02194","1","1"
"0170","02199","1","1"
"0170","02943","1","1"
