"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"66.3",3,"66"
"68.1",3,"68"
"68.2",3,"68"
"68.3",3,"68"
"69.1",3,"69"
"69.2",3,"69"
"70.1",3,"70"
"70.2",3,"70"
"71.1",3,"71"
"71.2",3,"71"
"72.1",3,"72"
"72.2",3,"72"
"73.1",3,"73"
"73.2",3,"73"
"74.1",3,"74"
"74.2",3,"74"
"74.3",3,"74"
"74.9",3,"74"
"75.0",3,"75"
"77.1",3,"77"
"77.2",3,"77"
"77.3",3,"77"
"77.4",3,"77"
"78.1",3,"78"
"78.2",3,"78"
"78.3",3,"78"
"79.1",3,"79"
"79.9",3,"79"
"80.1",3,"80"
"80.2",3,"80"
"80.3",3,"80"
"81.1",3,"81"
"81.2",3,"81"
"81.3",3,"81"
"82.1",3,"82"
"82.2",3,"82"
"82.3",3,"82"
"82.9",3,"82"
"84.1",3,"84"
"84.2",3,"84"
"84.3",3,"84"
"85.1",3,"85"
"85.2",3,"85"
"85.3",3,"85"
"85.4",3,"85"
"85.5",3,"85"
"85.6",3,"85"
"86.1",3,"86"
"86.2",3,"86"
"86.9",3,"86"
"87.1",3,"87"
"87.2",3,"87"
"87.3",3,"87"
"87.9",3,"87"
"88.1",3,"88"
"88.9",3,"88"
"90.0",3,"90"
"91.0",3,"91"
"92.0",3,"92"
"93.1",3,"93"
"93.2",3,"93"
"94.1",3,"94"
"94.2",3,"94"
"94.9",3,"94"
"95.1",3,"95"
"95.2",3,"95"
"96.0",3,"96"
"97.0",3,"97"
"98.1",3,"98"
"98.2",3,"98"
"99.0",3,"99"
"01.11",4,"01.1"
"01.12",4,"01.1"
"01.13",4,"01.1"
"01.14",4,"01.1"
"01.15",4,"01.1"
"01.16",4,"01.1"
"01.19",4,"01.1"
"01.21",4,"01.2"
"01.22",4,"01.2"
"01.23",4,"01.2"
"01.24",4,"01.2"
"01.25",4,"01.2"
"01.26",4,"01.2"
"01.27",4,"01.2"
"01.28",4,"01.2"
"01.29",4,"01.2"
"01.30",4,"01.3"
"01.41",4,"01.4"
"01.42",4,"01.4"
"01.43",4,"01.4"
"01.44",4,"01.4"
"01.45",4,"01.4"
"01.46",4,"01.4"
"01.47",4,"01.4"
"01.49",4,"01.4"
"01.50",4,"01.5"
"01.61",4,"01.6"
"01.62",4,"01.6"
"01.63",4,"01.6"
"01.64",4,"01.6"
"01.70",4,"01.7"
"02.10",4,"02.1"
"02.20",4,"02.2"
"02.30",4,"02.3"
"02.40",4,"02.4"
"03.11",4,"03.1"
"03.12",4,"03.1"
"03.21",4,"03.2"
"03.22",4,"03.2"
"05.10",4,"05.1"
"05.20",4,"05.2"
"06.10",4,"06.1"
"06.20",4,"06.2"
"07.10",4,"07.1"
"07.21",4,"07.2"
"07.29",4,"07.2"
"08.11",4,"08.1"
"08.12",4,"08.1"
"08.91",4,"08.9"
"08.92",4,"08.9"
"08.93",4,"08.9"
"08.99",4,"08.9"
"09.10",4,"09.1"
"09.90",4,"09.9"
"10.11",4,"10.1"
"10.12",4,"10.1"
"10.13",4,"10.1"
"10.20",4,"10.2"
"10.31",4,"10.3"
"10.32",4,"10.3"
"10.39",4,"10.3"
"10.41",4,"10.4"
"10.42",4,"10.4"
"10.51",4,"10.5"
"10.52",4,"10.5"
"10.61",4,"10.6"
"10.62",4,"10.6"
"10.71",4,"10.7"
"10.72",4,"10.7"
"10.73",4,"10.7"
"10.81",4,"10.8"
"10.82",4,"10.8"
"10.83",4,"10.8"
"10.84",4,"10.8"
"10.85",4,"10.8"
"10.86",4,"10.8"
"10.89",4,"10.8"
"10.91",4,"10.9"
"10.92",4,"10.9"
"11.01",4,"11.0"
"11.02",4,"11.0"
"11.03",4,"11.0"
"11.04",4,"11.0"
"11.05",4,"11.0"
"11.06",4,"11.0"
"11.07",4,"11.0"
"12.00",4,"12.0"
"13.10",4,"13.1"
"13.20",4,"13.2"
"13.30",4,"13.3"
"13.91",4,"13.9"
"13.92",4,"13.9"
"13.93",4,"13.9"
"13.94",4,"13.9"
"13.95",4,"13.9"
"13.96",4,"13.9"
"13.99",4,"13.9"
"14.11",4,"14.1"
"14.12",4,"14.1"
"14.13",4,"14.1"
"14.14",4,"14.1"
"14.19",4,"14.1"
"14.20",4,"14.2"
"14.31",4,"14.3"
"14.39",4,"14.3"
"15.11",4,"15.1"
"15.12",4,"15.1"
"15.20",4,"15.2"
"16.10",4,"16.1"
"16.21",4,"16.2"
"16.22",4,"16.2"
"16.23",4,"16.2"
"16.24",4,"16.2"
"16.29",4,"16.2"
"17.11",4,"17.1"
"17.12",4,"17.1"
"17.21",4,"17.2"
"17.22",4,"17.2"
"17.23",4,"17.2"
"17.24",4,"17.2"
"17.29",4,"17.2"
"18.11",4,"18.1"
"18.12",4,"18.1"
"18.13",4,"18.1"
"18.14",4,"18.1"
"18.20",4,"18.2"
"19.10",4,"19.1"
"19.20",4,"19.2"
"20.11",4,"20.1"
"20.12",4,"20.1"
"20.13",4,"20.1"
"20.14",4,"20.1"
"20.15",4,"20.1"
"20.16",4,"20.1"
"20.17",4,"20.1"
"20.20",4,"20.2"
"20.30",4,"20.3"
"20.41",4,"20.4"
"20.42",4,"20.4"
"20.51",4,"20.5"
"20.52",4,"20.5"
"20.53",4,"20.5"
"20.59",4,"20.5"
"20.60",4,"20.6"
"21.10",4,"21.1"
"21.20",4,"21.2"
"22.11",4,"22.1"
"22.19",4,"22.1"
"22.21",4,"22.2"
"22.22",4,"22.2"
"22.23",4,"22.2"
"22.29",4,"22.2"
"23.11",4,"23.1"
"23.12",4,"23.1"
"23.13",4,"23.1"
"23.14",4,"23.1"
"23.19",4,"23.1"
"23.20",4,"23.2"
"23.31",4,"23.3"
"23.32",4,"23.3"
"23.41",4,"23.4"
"23.42",4,"23.4"
"23.43",4,"23.4"
"23.44",4,"23.4"
"23.49",4,"23.4"
"23.51",4,"23.5"
"23.52",4,"23.5"
"23.61",4,"23.6"
"23.62",4,"23.6"
"23.63",4,"23.6"
"23.64",4,"23.6"
"23.65",4,"23.6"
"23.69",4,"23.6"
"23.70",4,"23.7"
"23.91",4,"23.9"
"23.99",4,"23.9"
"24.10",4,"24.1"
"24.20",4,"24.2"
"24.31",4,"24.3"
"24.32",4,"24.3"
"24.33",4,"24.3"
"24.34",4,"24.3"
"24.41",4,"24.4"
"24.42",4,"24.4"
"24.43",4,"24.4"
