CN 2021,CN 2022,CNKEY,TYPE,CN2021_Deleted codes,CN2021_Reused Code
28051910,28051910,280519100080,,,
28051990,28051990,280519900080,,,
28053010,28053010,280530100080,,,
28053020,28053020,280530200080,,,
28053030,28053030,280530300080,,,
28053040,28053040,280530400080,,,
28053080,28053080,280530800080,,,
28054010,28054010,280540100080,,,
28054090,28054090,280540900080,,,
28061000,28061000,280610000080,,,
28062000,28062000,280620000080,,,
28070000,28070000,280700000080,,,
28080000,28080000,280800000080,,,
28091000,28091000,280910000080,,,
28092000,28092000,280920000080,,,
28100010,28100010,281000100080,,,
28100090,28100090,281000900080,,,
28111100,28111100,281111000080,,,
28111200,28111200,281112000080,,,
28111910,28111910,281119100080,,,
28111980,28111980,281119800080,,,
28112100,28112100,281121000080,,,
28112200,28112200,281122000080,,,
28112905,28112905,281129050080,,,
28112910,28112910,281129100080,,,
28112930,28112930,281129300080,,,
28112990,28112990,281129900080,,,
28121100,28121100,281211000080,,,
28121200,28121200,281212000080,,,
28121300,28121300,281213000080,,,
28121400,28121400,281214000080,,,
28121500,28121500,281215000080,,,
28121600,28121600,281216000080,,,
28121700,28121700,281217000080,,,
28121910,28121910,281219100080,,,
28121990,28121990,281219900080,,,
28129000,28129000,281290000080,,,
28131000,28131000,281310000080,,,
28139010,28139010,281390100080,,,
28139090,28139090,281390900080,,,
28141000,28141000,281410000080,,,
28142000,28142000,281420000080,,,
28151100,28151100,281511000080,,,
28151200,28151200,281512000080,,,
28152000,28152000,281520000080,,,
28153000,28153000,281530000080,,,
28161000,28161000,281610000080,,,
28164000,28164000,281640000080,,,
28170000,28170000,281700000080,,,
28181011,28181011,281810110080,,,
28181019,28181019,281810190080,,,
28181091,28181091,281810910080,,,
28181099,28181099,281810990080,,,
28182000,28182000,281820000080,,,
28183000,28183000,281830000080,,,
28191000,28191000,281910000080,,,
28199010,28199010,281990100080,,,
28199090,28199090,281990900080,,,
28201000,28201000,282010000080,,,
28209010,28209010,282090100080,,,
28209090,28209090,282090900080,,,
28211000,28211000,282110000080,,,
28212000,28212000,282120000080,,,
28220000,28220000,282200000080,,,
28230000,28230000,282300000080,,,
28241000,28241000,282410000080,,,
28249000,28249000,282490000080,,,
28251000,28251000,282510000080,,,
28252000,28252000,282520000080,,,
28253000,28253000,282530000080,,,
28254000,28254000,282540000080,,,
28255000,28255000,282550000080,,,
28256000,28256000,282560000080,,,
28257000,28257000,282570000080,,,
28258000,28258000,282580000080,,,
28259011,28259011,282590110080,,,
28259019,28259019,282590190080,,,
28259020,28259020,282590200080,,,
28259040,28259040,282590400080,,,
28259060,28259060,282590600080,,,
28259085,28259085,282590850080,,,
28261200,28261200,282612000080,,,
28261910,28261910,282619100080,,,
28261990,28261990,282619900080,,,
28263000,28263000,282630000080,,,
28269010,28269010,282690100080,,,
28269080,28269080,282690800080,,,
28271000,28271000,282710000080,,,
28272000,28272000,282720000080,,,
28273100,28273100,282731000080,,,
28273200,28273200,282732000080,,,
28273500,28273500,282735000080,,,
28273910,28273910,282739100080,,,
28273920,28273920,282739200080,,,
28273930,28273930,282739300080,,,
28273985,28273985,282739850080,,,
28274100,28274100,282741000080,,,
28274910,28274910,282749100080,,,
28274990,28274990,282749900080,,,
28275100,28275100,282751000080,,,
28275900,28275900,282759000080,,,
28276000,28276000,282760000080,,,
28281000,28281000,282810000080,,,
28289000,28289000,282890000080,,,
28291100,28291100,282911000080,,,
28291900,28291900,282919000080,,,
28299010,28299010,282990100080,,,
28299040,28299040,282990400080,,,
28299080,28299080,282990800080,,,
28301000,28301000,283010000080,,,
28309011,28309011,283090110080,,,
28309085,28309085,283090850080,,,
28311000,28311000,283110000080,,,
28319000,28319000,283190000080,,,
28321000,28321000,283210000080,,,
28322000,28322000,283220000080,,,
28323000,28323000,283230000080,,,
28331100,28331100,283311000080,,,
28331900,28331900,283319000080,,,
28332100,28332100,283321000080,,,
28332200,28332200,283322000080,,,
28332400,28332400,283324000080,,,
28332500,28332500,283325000080,,,
28332700,28332700,283327000080,,,
28332920,28332920,283329200080,,,
28332930,28332930,283329300080,,,
28332960,28332960,283329600080,,,
28332980,28332980,283329800080,,,
28333000,28333000,283330000080,,,
28334000,28334000,283340000080,,,
28341000,28341000,283410000080,,,
28342100,28342100,283421000080,,,
28342920,28342920,283429200080,,,
28342940,28342940,283429400080,,,
28342980,28342980,283429800080,,,
28351000,28351000,283510000080,,,
28352200,28352200,283522000080,,,
28352400,28352400,283524000080,,,
28352500,28352500,283525000080,,,
28352600,28352600,283526000080,,,
28352910,28352910,283529100080,,,
28352930,28352930,283529300080,,,
28352990,28352990,283529900080,,,
28353100,28353100,283531000080,,,
28353900,28353900,283539000080,,,
28362000,28362000,283620000080,,,
28363000,28363000,283630000080,,,
28364000,28364000,283640000080,,,
28365000,28365000,283650000080,,,
28366000,28366000,283660000080,,,
28369100,28369100,283691000080,,,
28369200,28369200,283692000080,,,
28369911,28369911,283699110080,,,
28369917,28369917,283699170080,,,
28369990,28369990,283699900080,,,
28371100,28371100,283711000080,,,
28371900,28371900,283719000080,,,
28372000,28372000,283720000080,,,
28391100,28391100,283911000080,,,
28391900,28391900,283919000080,,,
28399000,28399000,283990000080,,,
28401100,28401100,284011000080,,,
28401910,28401910,284019100080,,,
28401990,28401990,284019900080,,,
28402010,28402010,284020100080,,,
28402090,28402090,284020900080,,,
28403000,28403000,284030000080,,,
28413000,28413000,284130000080,,,
28415000,28415000,284150000080,,,
28416100,28416100,284161000080,,,
28416900,28416900,284169000080,,,
28417000,28417000,284170000080,,,
28418000,28418000,284180000080,,,
28419030,28419030,284190300080,,,
28419085,28419085,284190850080,,,
28421000,28421000,284210000080,,,
28429010,28429010,284290100080,,,
28429080,28429080,284290800080,,,
28431010,28431010,284310100080,,,
28431090,28431090,284310900080,,,
28432100,28432100,284321000080,,,
28432900,28432900,284329000080,,,
28433000,28433000,284330000080,,,
28439010,28439010,284390100080,,,
28439090,28439090,284390900080,,,
28441010,28441010,284410100080,,,
28441030,28441030,284410300080,,,
28441050,28441050,284410500080,,,
28441090,28441090,284410900080,,,
28442025,28442025,284420250080,,,
28442035,28442035,284420350080,,,
28442051,28442051,284420510080,,,
28442059,28442059,284420590080,,,
28442099,28442099,284420990080,,,
28443011,28443011,284430110080,,,
28443019,28443019,284430190080,,,
28443051,28443051,284430510080,,,
28443055,28443055,284430550080,,,
28443061,28443061,284430610080,,,
28443069,28443069,284430690080,,,
28443091,28443091,284430910080,,,
28443099,28443099,284430990080,,,
28444010,28444310,284440100080,-,2844 40 10,
28444020,28444210,284440200080,ex,2844 40 20,
28444020,28444320,284440200080,ex,2844 40 20,
28444020,28444110,284440200080,ex,2844 40 20,
28444030,28444210,284440300080,ex,2844 40 30,
28444030,28444320,284440300080,ex,2844 40 30,
28444030,28444110,284440300080,ex,2844 40 30,
28444080,28444190,284440800080,-,2844 40 80,
28444080,28444290,284440800080,-,2844 40 80,
28444080,28444380,284440800080,-,2844 40 80,
28444080,28444400,284440800080,-,2844 40 80,
28445000,28445000,284450000080,,,
28451000,28451000,284510000080,,,
28459010,28459010,284590100080,,,
28459090,28452000,284590900080,-,,2845 90 90
28459090,28459090,284590900080,-,,2845 90 90
28459090,28454000,284590900080,-,,2845 90 90
28459090,28453000,284590900080,-,,2845 90 90
28461000,28461000,284610000080,,,
28469010,28469010,284690100080,,,
28469020,28469020,284690200080,,,
28469030,28469030,284690300080,,,
28469090,28469090,284690900080,,,
28470000,28470000,284700000080,,,
28491000,28491000,284910000080,,,
28492000,28492000,284920000080,,,
28499010,28499010,284990100080,,,
28499030,28499030,284990300080,,,
28499050,28499050,284990500080,,,
28499090,28499090,284990900080,,,
28500020,28500020,285000200080,,,
28500060,28500060,285000600080,,,
28500090,28500090,285000900080,,,
28521000,28521000,285210000080,,,
28529000,28529000,285290000080,,,
28531000,28531000,285310000080,,,
28539010,28539010,285390100080,,,
28539030,28539030,285390300080,,,
28539090,28539090,285390900080,,,
29011000,29011000,290110000080,,,
29012100,29012100,290121000080,,,
29012200,29012200,290122000080,,,
29012300,29012300,290123000080,,,
29012400,29012400,290124000080,,,
29012900,29012900,290129000080,,,
29021100,29021100,290211000080,,,
29021900,29021900,290219000080,,,
29022000,29022000,290220000080,,,
29023000,29023000,290230000080,,,
29024100,29024100,290241000080,,,
29024200,29024200,290242000080,,,
29024300,29024300,290243000080,,,
29024400,29024400,290244000080,,,
29025000,29025000,290250000080,,,
29026000,29026000,290260000080,,,
29027000,29027000,290270000080,,,
29029000,29029000,290290000080,,,
29031100,29031100,290311000080,,,
29031200,29031200,290312000080,,,
29031300,29031300,290313000080,,,
29031400,29031400,290314000080,,,
29031500,29031500,290315000080,,,
29031900,29031900,290319000080,,,
29032100,29032100,290321000080,,,
29032200,29032200,290322000080,,,
29032300,29032300,290323000080,,,
29032900,29032900,290329000080,,,
29033100,29036200,290331000080,-,2903 31 00,
29033911,29036100,290339110080,-,2903 39 11,
29033915,29036911,290339150080,-,2903 39 15,
29033919,29036919,290339190080,-,2903 39 19,
29033921,29034200,290339210080,-,2903 39 21,
29033923,29034100,290339230080,-,2903 39 23,
29033924,29034400,290339240080,ex,2903 39 24,
29033925,29034300,290339250080,ex,2903 39 25,
29033926,29034500,290339260080,ex,2903 39 26,
29033927,29034600,290339270080,-,2903 39 27,
29033927,29034700,290339270080,-,2903 39 27,
29033927,29034910,290339270080,-,2903 39 27,
29033928,29034930,290339280080,-,2903 39 28,
29033929,29034800,290339290080,-,2903 39 29,
29033929,29034500,290339290080,ex,2903 39 29,
29033929,29034400,290339290080,ex,2903 39 29,
29033929,29034300,290339290080,ex,2903 39 29,
29033929,29034990,290339290080,-,2903 39 29,
29033931,29035100,290339310080,ex,2903 39 31,
29033935,29035100,290339350080,ex,2903 39 35,
29033939,29035100,290339390080,ex,2903 39 39,
29033939,29035900,290339390080,-,2903 39 39,
29033980,29036980,290339800080,-,2903 39 80,
29037100,29037100,290371000080,,,
29037200,29037200,290372000080,,,
29037300,29037300,290373000080,,,
29037400,29037400,290374000080,,,
29037500,29037500,290375000080,,,
29037610,29037610,290376100080,,,
29037620,29037620,290376200080,,,
29037690,29037690,290376900080,,,
29037760,29037760,290377600080,,,
29037790,29037790,290377900080,,,
29037800,29037800,290378000080,,,
29037930,29037930,290379300080,,,
29037980,29037980,290379800080,,,
29038100,29038100,290381000080,,,
29038200,29038200,290382000080,,,
29038300,29038300,290383000080,,,
29038910,29038910,290389100080,,,
29038980,29038980,290389800080,,,
29039100,29039100,290391000080,,,
29039200,29039200,290392000080,,,
29039300,29039300,290393000080,,,
29039400,29039400,290394000080,,,
29039910,29039910,290399100080,,,
29039980,29039980,290399800080,,,
29041000,29041000,290410000080,,,
29042000,29042000,290420000080,,,
29043100,29043100,290431000080,,,
29043200,29043200,290432000080,,,
29043300,29043300,290433000080,,,
29043400,29043400,290434000080,,,
29043500,29043500,290435000080,,,
29043600,29043600,290436000080,,,
29049100,29049100,290491000080,,,
29049900,29049900,290499000080,,,
29051100,29051100,290511000080,,,
29051200,29051200,290512000080,,,
29051300,29051300,290513000080,,,
29051410,29051410,290514100080,,,
29051490,29051490,290514900080,,,
29051620,29051620,290516200080,,,
29051685,29051685,290516850080,,,
29051700,29051700,290517000080,,,
29051900,29051900,290519000080,,,
29052200,29052200,290522000080,,,
29052910,29052910,290529100080,,,
29052990,29052990,290529900080,,,
29053100,29053100,290531000080,,,
29053200,29053200,290532000080,,,
29053920,29053920,290539200080,,,
29053926,29053926,290539260080,,,
29053928,29053928,290539280080,,,
29053930,29053930,290539300080,,,
29053995,29053995,290539950080,,,
29054100,29054100,290541000080,,,
29054200,29054200,290542000080,,,
29054300,29054300,290543000080,,,
29054411,29054411,290544110080,,,
29054419,29054419,290544190080,,,
29054491,29054491,290544910080,,,
29054499,29054499,290544990080,,,
29054500,29054500,290545000080,,,
29054900,29054900,290549000080,,,
29055100,29055100,290551000080,,,
29055991,29055991,290559910080,,,
29055998,29055998,290559980080,,,
29061100,29061100,290611000080,,,
29061200,29061200,290612000080,,,
29061310,29061310,290613100080,,,
29061390,29061390,290613900080,,,
29061900,29061900,290619000080,,,
29062100,29062100,290621000080,,,
29062900,29062900,290629000080,,,
29071100,29071100,290711000080,,,
29071200,29071200,290712000080,,,
29071300,29071300,290713000080,,,
29071510,29071510,290715100080,,,
29071590,29071590,290715900080,,,
29071910,29071910,290719100080,,,
29071990,29071990,290719900080,,,
29072100,29072100,290721000080,,,
29072200,29072200,290722000080,,,
29072300,29072300,290723000080,,,
29072900,29072900,290729000080,,,
29081100,29081100,290811000080,,,
29081900,29081900,290819000080,,,
29089100,29089100,290891000080,,,
29089200,29089200,290892000080,,,
29089900,29089900,290899000080,,,
29091100,29091100,290911000080,,,
29091910,29091910,290919100080,,,
29091990,29091990,290919900080,,,
29092000,29092000,290920000080,,,
29093010,29093010,290930100080,,,
29093031,29093031,290930310080,,,
29093035,29093035,290930350080,,,
29093038,29093038,290930380080,,,
29093090,29093090,290930900080,,,
29094100,29094100,290941000080,,,
29094300,29094300,290943000080,,,
29094400,29094400,290944000080,,,
29094911,29094911,290949110080,,,
29094980,29094980,290949800080,,,
29095000,29095000,290950000080,,,
29096000,29096090,290960000080,-,2909 60 00,
29101000,29101000,291010000080,,,
29102000,29102000,291020000080,,,
29103000,29103000,291030000080,,,
29104000,29104000,291040000080,,,
29105000,29105000,291050000080,,,
29109000,29109000,291090000080,,,
29110000,29096010,291100000080,-,,2911 00 00
29110000,29110000,291100000080,-,,2911 00 00
29121100,29121100,291211000080,,,
29121200,29121200,291212000080,,,
29121900,29121900,291219000080,,,
29122100,29122100,291221000080,,,
29122900,29122900,291229000080,,,
29124100,29124100,291241000080,,,
29124200,29124200,291242000080,,,
29124900,29124900,291249000080,,,
29125000,29125000,291250000080,,,
29126000,29126000,291260000080,,,
29130000,29130000,291300000080,,,
29141100,29141100,291411000080,,,
29141200,29141200,291412000080,,,
29141300,29141300,291413000080,,,
29141910,29141910,291419100080,,,
29141990,29141990,291419900080,,,
29142200,29142200,291422000080,,,
29142300,29142300,291423000080,,,
29142900,29142900,291429000080,,,
29143100,29143100,291431000080,,,
29143900,29143900,291439000080,,,
29144010,29144010,291440100080,,,
29144090,29144090,291440900080,,,
29145000,29145000,291450000080,,,
29146100,29146100,291461000080,,,
29146200,29146200,291462000080,,,
29146910,29146910,291469100080,,,
29146980,29146980,291469800080,,,
29147100,29147100,291471000080,,,
29147900,29147900,291479000080,,,
29151100,29151100,291511000080,,,
29151200,29151200,291512000080,,,
29151300,29151300,291513000080,,,
29152100,29152100,291521000080,,,
29152400,29152400,291524000080,,,
29152900,29152900,291529000080,,,
29153100,29153100,291531000080,,,
29153200,29153200,291532000080,,,
29153300,29153300,291533000080,,,
29153600,29153600,291536000080,,,
29153900,29153900,291539000080,,,
29154000,29154000,291540000080,,,
29155000,29155000,291550000080,,,
29156011,29156011,291560110080,,,
29156019,29156019,291560190080,,,
29156090,29156090,291560900080,,,
29157040,29157040,291570400080,,,
29157050,29157050,291570500080,,,
29159030,29159030,291590300080,,,
29159070,29159070,291590700080,,,
29161100,29161100,291611000080,,,
29161200,29161200,291612000080,,,
29161300,29161300,291613000080,,,
29161400,29161400,291614000080,,,
29161500,29161500,291615000080,,,
29161600,29161600,291616000080,,,
29161910,29161910,291619100080,,,
29161940,29161940,291619400080,,,
29161995,29161995,291619950080,,,
29162000,29162000,291620000080,,,
29163100,29163100,291631000080,,,
29163200,29163200,291632000080,,,
29163400,29163400,291634000080,,,
29163910,29163910,291639100080,,,
29163990,29163990,291639900080,,,
29171100,29171100,291711000080,,,
29171200,29171200,291712000080,,,
29171310,29171310,291713100080,,,
29171390,29171390,291713900080,,,
29171400,29171400,291714000080,,,
29171910,29171910,291719100080,,,
29171920,29171920,291719200080,,,
29171980,29171980,291719800080,,,
29172000,29172000,291720000080,,,
29173200,29173200,291732000080,,,
29173300,29173300,291733000080,,,
29173400,29173400,291734000080,,,
29173500,29173500,291735000080,,,
29173600,29173600,291736000080,,,
29173700,29173700,291737000080,,,
29173920,29173920,291739200080,,,
29173995,29173995,291739950080,,,
29181100,29181100,291811000080,,,
29181200,29181200,291812000080,,,
29181300,29181300,291813000080,,,
29181400,29181400,291814000080,,,
29181500,29181500,291815000080,,,
29181600,29181600,291816000080,,,
29181700,29181700,291817000080,,,
29181800,29181800,291818000080,,,
29181930,29181930,291819300080,,,
29181940,29181940,291819400080,,,
29181998,29181998,291819980080,,,
29182100,29182100,291821000080,,,
29182200,29182200,291822000080,,,
29182300,29182300,291823000080,,,
29182900,29182900,291829000080,,,
29183000,29183000,291830000080,,,
29189100,29189100,291891000080,,,
29189940,29189940,291899400080,,,
29189990,29189990,291899900080,,,
29191000,29191000,291910000080,,,
29199000,29199000,291990000080,,,
29201100,29201100,292011000080,,,
29201900,29201900,292019000080,,,
29202100,29202100,292021000080,,,
29202200,29202200,292022000080,,,
29202300,29202300,292023000080,,,
29202400,29202400,292024000080,,,
29202900,29202900,292029000080,,,
29203000,29203000,292030000080,,,
29209010,29209010,292090100080,,,
29209070,29209070,292090700080,,,
29211100,29211100,292111000080,,,
29211200,29211200,292112000080,,,
29211300,29211300,292113000080,,,
29211400,29211400,292114000080,,,
29211940,29211940,292119400080,,,
29211950,29211950,292119500080,,,
29211999,29211999,292119990080,,,
29212100,29212100,292121000080,,,
29212200,29212200,292122000080,,,
29212900,29212900,292129000080,,,
29213010,29213010,292130100080,,,
29213091,29213091,292130910080,,,
29213099,29213099,292130990080,,,
29214100,29214100,292141000080,,,
29214200,29214200,292142000080,,,
29214300,29214300,292143000080,,,
29214400,29214400,292144000080,,,
29214500,29214500,292145000080,,,
29214600,29214600,292146000080,,,
29214900,29214900,292149000080,,,
29215111,29215111,292151110080,,,
29215119,29215119,292151190080,,,
29215190,29215190,292151900080,,,
29215950,29215950,292159500080,,,
29215990,29215990,292159900080,,,
29221100,29221100,292211000080,,,
29221200,29221200,292212000080,,,
29221400,29221400,292214000080,,,
29221500,29221500,292215000080,,,
29221600,29221600,292216000080,,,
29221700,29221700,292217000080,,,
29221800,29221800,292218000080,,,
29221900,29221900,292219000080,,,
29222100,29222100,292221000080,,,
29222900,29222900,292229000080,,,
29223100,29223100,292231000080,,,
29223900,29223900,292239000080,,,
29224100,29224100,292241000080,,,
29224200,29224200,292242000080,,,
29224300,29224300,292243000080,,,
29224400,29224400,292244000080,,,
29224920,29224920,292249200080,,,
29224985,29224985,292249850080,,,
29225000,29225000,292250000080,,,
29231000,29231000,292310000080,,,
29232000,29232000,292320000080,,,
29233000,29233000,292330000080,,,
29234000,29234000,292340000080,,,
29239000,29239000,292390000080,,,
29241100,29241100,292411000080,,,
29241200,29241200,292412000080,,,
29241900,29241900,292419000080,,,
29242100,29242100,292421000080,,,
29242300,29242300,292423000080,,,
29242400,29242400,292424000080,,,
29242500,29242500,292425000080,,,
29242910,29242910,292429100080,,,
29242970,29242970,292429700080,,,
29251100,29251100,292511000080,,,
29251200,29251200,292512000080,,,
29251920,29251920,292519200080,,,
29251995,29251995,292519950080,,,
29252100,29252100,292521000080,,,
29252900,29252900,292529000080,,,
29261000,29261000,292610000080,,,
29262000,29262000,292620000080,,,
29263000,29263000,292630000080,,,
29264000,29264000,292640000080,,,
29269020,29269020,292690200080,,,
29269070,29269070,292690700080,,,
29270000,29270000,292700000080,,,
29280010,29280010,292800100080,,,
29280090,29280090,292800900080,,,
29291000,29291000,292910000080,,,
29299000,29299000,292990000080,,,
29302000,29302000,293020000080,,,
29303000,29303000,293030000080,,,
29304010,29304010,293040100080,,,
29304090,29304090,293040900080,,,
29306000,29306000,293060000080,,,
29307000,29307000,293070000080,,,
29308000,29308000,293080000080,,,
29309013,29309013,293090130080,,,
29309016,29309016,293090160080,,,
29309030,29309030,293090300080,,,
29309040,29309040,293090400080,,,
29309050,29309050,293090500080,,,
29309098,29301000,293090980080,-,,2930 90 98
29309098,29309098,293090980080,-,,2930 90 98
29311000,29311000,293110000080,,,
29312000,29312000,293120000080,,,
29313100,29314100,293131000080,-,2931 31 00,
29313200,29314200,293132000080,-,2931 32 00,
29313300,29314300,293133000080,-,2931 33 00,
29313400,29314910,293134000080,-,2931 34 00,
29313500,29314600,293135000080,-,2931 35 00,
29313600,29314700,293136000080,-,2931 36 00,
29313700,29314920,293137000080,-,2931 37 00,
29313800,29314500,293138000080,-,2931 38 00,
29313920,29315910,293139200080,-,2931 39 20,
29313930,29315100,293139300080,-,2931 39 30,
29313950,29314930,293139500080,-,2931 39 50,
29313960,29314940,293139600080,-,2931 39 60,
29313990,29314990,293139900080,-,2931 39 90,
29313990,29315990,293139900080,-,2931 39 90,
29313990,29315400,293139900080,-,2931 39 90,
29313990,29315200,293139900080,-,2931 39 90,
29313990,29314800,293139900080,-,2931 39 90,
29313990,29314400,293139900080,-,2931 39 90,
29313990,29315300,293139900080,-,2931 39 90,
29319000,29319000,293190000080,,,
29321100,29321100,293211000080,,,
29321200,29321200,293212000080,,,
29321300,29321300,293213000080,,,
29321400,29321400,293214000080,,,
29321900,29321900,293219000080,,,
29322010,29322010,293220100080,,,
29322020,29322020,293220200080,,,
29322090,29322090,293220900080,,,
29329100,29329100,293291000080,,,
29329200,29329200,293292000080,,,
29329300,29329300,293293000080,,,
29329400,29329400,293294000080,,,
29329500,29329500,293295000080,,,
29329900,29329600,293299000080,-,,2932 99 00
29329900,29329900,293299000080,-,,2932 99 00
29331110,29331110,293311100080,,,
29331190,29331190,293311900080,,,
29331910,29331910,293319100080,,,
29331990,29331990,293319900080,,,
29332100,29332100,293321000080,,,
29332910,29332910,293329100080,,,
29332990,29332990,293329900080,,,
29333100,29333100,293331000080,,,
29333200,29333200,293332000080,,,
29333300,29333300,293333000080,ex,,2933 33 00
29333910,29333910,293339100080,,,
29333920,29333920,293339200080,,,
29333925,29333925,293339250080,,,
29333935,29333935,293339350080,,,
29333940,29333940,293339400080,,,
29333945,29333945,293339450080,,,
29333950,29333950,293339500080,,,
29333955,29333955,293339550080,,,
29333999,29333300,293339990080,ex,,2933 39 99
29333999,29333999,293339990080,-,,2933 39 99
29333999,29333700,293339990080,-,,2933 39 99
29333999,29333400,293339990080,-,,2933 39 99
29333999,29333600,293339990080,-,,2933 39 99
29333999,29333500,293339990080,-,,2933 39 99
29334100,29334100,293341000080,,,
29334910,29334910,293349100080,,,
29334930,29334930,293349300080,,,
29334990,29334990,293349900080,,,
29335200,29335200,293352000080,,,
29335310,29335310,293353100080,,,
29335390,29335390,293353900080,,,
29335400,29335400,293354000080,,,
29335500,29335500,293355000080,,,
29335910,29335910,293359100080,,,
29335920,29335920,293359200080,,,
29335995,29335995,293359950080,,,
29336100,29336100,293361000080,,,
29336910,29336910,293369100080,,,
29336940,29336940,293369400080,,,
29336980,29336980,293369800080,,,
29337100,29337100,293371000080,,,
29337200,29337200,293372000080,,,
29337900,29337900,293379000080,,,
29339110,29339110,293391100080,,,
29339190,29339190,293391900080,,,
29339200,29339200,293392000080,,,
29339920,29339920,293399200080,,,
29339950,29339950,293399500080,,,
29339980,29339980,293399800080,,,
29341000,29341000,293410000080,,,
29342020,29342020,293420200080,,,
29342080,29342080,293420800080,,,
29343010,29343010,293430100080,,,
29343090,29343090,293430900080,,,
29349100,29349100,293491000080,,,
29349960,29349960,293499600080,,,
29349990,29349200,293499900080,-,,2934 99 90
29349990,29349990,293499900080,-,,2934 99 90
29351000,29351000,293510000080,,,
29352000,29352000,293520000080,,,
29353000,29353000,293530000080,,,
29354000,29354000,293540000080,,,
29355000,29355000,293550000080,,,
29359030,29359030,293590300080,,,
29359090,29359090,293590900080,,,
29362100,29362100,293621000080,,,
29362200,29362200,293622000080,,,
29362300,29362300,293623000080,,,
29362400,29362400,293624000080,,,
29362500,29362500,293625000080,,,
29362600,29362600,293626000080,,,
29362700,29362700,293627000080,,,
29362800,29362800,293628000080,,,
29362900,29362900,293629000080,,,
29369000,29369000,293690000080,,,
29371100,29371100,293711000080,,,
29371200,29371200,293712000080,,,
29371900,29371900,293719000080,,,
29372100,29372100,293721000080,,,
29372200,29372200,293722000080,,,
29372300,29372300,293723000080,,,
29372900,29372900,293729000080,,,
29375000,29375000,293750000080,,,
29379000,29379000,293790000080,,,
29381000,29381000,293810000080,,,
29389010,29389010,293890100080,,,
29389030,29389030,293890300080,,,
29389090,29389090,293890900080,,,
29391100,29391100,293911000080,,,
29391900,29391900,293919000080,,,
29392000,29392000,293920000080,,,
29393000,29393000,293930000080,,,
29394100,29394100,293941000080,,,
29394200,29394200,293942000080,,,
29394300,29394300,293943000080,,,
29394400,29394400,293944000080,,,
29394900,29394900,293949000080,ex,,2939 49 00
29395100,29395100,293951000080,,,
29395900,29395900,293959000080,,,
29396100,29396100,293961000080,,,
29396200,29396200,293962000080,,,
29396300,29396300,293963000080,,,
29396900,29396900,293969000080,,,
29397100,29397200,293971000080,-,2939 71 00,
29397100,29394500,293971000080,-,2939 71 00,
29397100,29394900,293971000080,ex,2939 71 00,
29397910,29397910,293979100080,,,
29397990,29394900,293979900080,ex,,2939 79 90
29397990,29397990,293979900080,-,,2939 79 90
29398000,29398000,293980000080,,,
29400000,29400000,294000000080,,,
29411000,29411000,294110000080,,,
29412030,29412030,294120300080,,,
29412080,29412080,294120800080,,,
29413000,29413000,294130000080,,,
29414000,29414000,294140000080,,,
29415000,29415000,294150000080,,,
29419000,29419000,294190000080,,,
29420000,29420000,294200000080,,,
30012010,30012010,300120100080,,,
30012090,30012090,300120900080,,,
30019020,30019020,300190200080,,,
30019091,30019091,300190910080,,,
30019098,30019098,300190980080,,,
30021100,38221100,300211000080,ex,3002 11 00,
30021200,30021200,300212000080,,,
30021300,30021300,300213000080,-,,3002 13 00
30021300,38221100,300213000080,ex,,3002 13 00
30021300,38221200,300213000080,ex,,3002 13 00
30021300,38221900,300213000080,ex,,3002 13 00
30021400,30021400,300214000080,-,,3002 14 00
30021400,38221900,300214000080,ex,,3002 14 00
30021400,38221200,300214000080,ex,,3002 14 00
30021400,38221100,300214000080,ex,,3002 14 00
30021500,30021500,300215000080,-,,3002 15 00
30021500,38221100,300215000080,ex,,3002 15 00
30021500,38221200,300215000080,ex,,3002 15 00
30021500,38221900,300215000080,ex,,3002 15 00
30021900,38221900,300219000080,ex,3002 19 00,
30022010,30024110,300220100080,-,3002 20 10,
30022090,30024190,300220900080,-,3002 20 90,
30023000,30024200,300230000080,-,3002 30 00,
30029010,30029010,300290100080,,,
30029030,30029030,300290300080,,,
30029050,30024900,300290500080,ex,3002 90 50,
30029090,30024900,300290900080,ex,,3002 90 90
30029090,30025100,300290900080,-,,3002 90 90
30029090,30025900,300290900080,-,,3002 90 90
30029090,30029090,300290900080,-,,3002 90 90
30031000,30031000,300310000080,,,
30032000,30032000,300320000080,,,
30033100,30033100,300331000080,,,
30033900,30033900,300339000080,,,
30034100,30034100,300341000080,,,
30034200,30034200,300342000080,,,
30034300,30034300,300343000080,,,
30034900,30034900,300349000080,,,
30036000,30036000,300360000080,,,
30039000,30039000,300390000080,,,
30041000,30041000,300410000080,,,
30042000,30042000,300420000080,,,
30043100,30043100,300431000080,,,
30043200,30043200,300432000080,,,
30043900,30043900,300439000080,,,
30044100,30044100,300441000080,,,
30044200,30044200,300442000080,,,
30044300,30044300,300443000080,,,
30044900,30044900,300449000080,,,
30045000,30045000,300450000080,,,
30046000,30046000,300460000080,,,
30049000,30049000,300490000080,-,,
30049000,30069300,300490000080,-,,
30051000,30051000,300510000080,,,
30059010,30059010,300590100080,,,
30059031,30059031,300590310080,,,
30059050,30059050,300590500080,,,
30059099,30059099,300590990080,,,
30061010,30061010,300610100080,,,
30061030,30061030,300610300080,,,
30061090,30061090,300610900080,,,
30062000,38221300,300620000080,-,3006 20 00,
30063000,30063000,300630000080,,,
