CN 2021,CN 2022,CNKEY,TYPE,CN2021_Deleted codes,CN2021_Reused Code
02089098,04101010,020890980080,-,,0208 90 98
02089098,02089098,020890980080,-,,0208 90 98
02091011,02091011,020910110080,,,
02091019,02091019,020910190080,,,
02091090,02091090,020910900080,,,
02099000,02099000,020990000080,,,
02101111,02101111,021011110080,,,
02101119,02101119,021011190080,,,
02101131,02101131,021011310080,,,
02101139,02101139,021011390080,,,
02101190,02101190,021011900080,,,
02101211,02101211,021012110080,,,
02101219,02101219,021012190080,,,
02101290,02101290,021012900080,,,
02101910,02101910,021019100080,,,
02101920,02101920,021019200080,,,
02101930,02101930,021019300080,,,
02101940,02101940,021019400080,,,
02101950,02101950,021019500080,,,
02101960,02101960,021019600080,,,
02101970,02101970,021019700080,,,
02101981,02101981,021019810080,,,
02101989,02101989,021019890080,,,
02101990,02101990,021019900080,,,
02102010,02102010,021020100080,,,
02102090,02102090,021020900080,,,
02109100,02109100,021091000080,,,
02109210,02109210,021092100080,,,
02109291,02109291,021092910080,,,
02109292,02109292,021092920080,,,
02109299,02109299,021092990080,,,
02109300,02109300,021093000080,,,
02109910,02109910,021099100080,,,
02109921,02109921,021099210080,,,
02109929,02109929,021099290080,,,
02109931,02109931,021099310080,,,
02109939,02109939,021099390080,-,,0210 99 39
02109939,04101099,021099390080,-,,0210 99 39
02109941,02109941,021099410080,,,
02109949,02109949,021099490080,,,
02109951,02109951,021099510080,,,
02109959,02109959,021099590080,,,
02109971,02109971,021099710080,,,
02109979,02109979,021099790080,,,
02109985,02109985,021099850080,,,
02109990,02109990,021099900080,-,,0210 99 90
02109990,04101091,021099900080,-,,0210 99 90
03011100,03011100,030111000080,,,
03011900,03011900,030119000080,,,
03019110,03019110,030191100080,,,
03019190,03019190,030191900080,,,
03019210,03019210,030192100080,,,
03019230,03019230,030192300080,,,
03019290,03019290,030192900080,,,
03019300,03019300,030193000080,,,
03019410,03019410,030194100080,,,
03019490,03019490,030194900080,,,
03019500,03019500,030195000080,,,
03019911,03019911,030199110080,,,
03019917,03019917,030199170080,,,
03019985,03019985,030199850080,,,
03021110,03021110,030211100080,,,
03021120,03021120,030211200080,,,
03021180,03021180,030211800080,,,
03021300,03021300,030213000080,,,
03021400,03021400,030214000080,,,
03021900,03021900,030219000080,,,
03022110,03022110,030221100080,,,
03022130,03022130,030221300080,,,
03022190,03022190,030221900080,,,
03022200,03022200,030222000080,,,
03022300,03022300,030223000080,,,
03022400,03022400,030224000080,,,
03022910,03022910,030229100080,,,
03022980,03022980,030229800080,,,
03023110,03023110,030231100080,,,
03023190,03023190,030231900080,,,
03023210,03023210,030232100080,,,
03023290,03023290,030232900080,,,
03023310,03023310,030233100080,,,
03023390,03023390,030233900080,,,
03023410,03023410,030234100080,,,
03023490,03023490,030234900080,,,
03023511,03023511,030235110080,,,
03023519,03023519,030235190080,,,
03023591,03023591,030235910080,,,
03023599,03023599,030235990080,,,
03023610,03023610,030236100080,,,
03023690,03023690,030236900080,,,
03023920,03023920,030239200080,,,
03023980,03023980,030239800080,,,
03024100,03024100,030241000080,,,
03024200,03024200,030242000080,,,
03024310,03024310,030243100080,,,
03024330,03024330,030243300080,,,
03024390,03024390,030243900080,,,
03024400,03024400,030244000080,,,
03024510,03024510,030245100080,,,
03024530,03024530,030245300080,,,
03024590,03024590,030245900080,,,
03024600,03024600,030246000080,,,
03024700,03024700,030247000080,,,
03024911,03024911,030249110080,,,
03024919,03024919,030249190080,,,
03024990,03024990,030249900080,,,
03025110,03025110,030251100080,,,
03025190,03025190,030251900080,,,
03025200,03025200,030252000080,,,
03025300,03025300,030253000080,,,
