CN 2021,PRODCOM 2021,YEAR,PRODTYPE,CN-Split
,07101000,2021,S,
26011100,07101010,2021,S,
26011200,07101020,2021,S,
26030000,07291100,2021,S,
26040000,07291200,2021,S,
26060000,07291300,2021,S,
,07291400,2021,S,
26161000,07291410,2021,S,
26169000,07291420,2021,S,
,07291500,2021,S,
26070000,07291510,2021,S,
26080000,07291520,2021,S,
26090000,07291530,2021,S,
,07291900,2021,S,
26050000,07291905,2021,S,
26100000,07291910,2021,S,
26020000,07291915,2021,S,
26110000,07291920,2021,S,
26131000,07291925,2021,S,
26139000,07291926,2021,S,
26140000,07291930,2021,S,
26151000,07291935,2021,S,
26159000,07291940,2021,S,
26171000,07291945,2021,S,
26179000,07291990,2021,S,
25151100,08111133,2021,T,
25151200,08111136,2021,T,
25152000,08111150,2021,T,
25062000,08111220,2021,T,
25161100,08111233,2021,T,
25161200,08111236,2021,T,
25162000,08111250,2021,T,
25169000,08111260,2021,T,
,08111290,2021,T,
25201000,08112030,2021,T,
25210000,08112050,2021,T,
25090000,08113010,2021,T,
25181000,08113030,2021,T,
25140000,08114000,2021,T,
25051000,08121150,2021,S,
25059000,08121190,2021,S,
25171010,08121210,2021,S,
,08121230,2021,S,
25171020,08121235,2021,S,
25171080,08121240,2021,S,
25174100,08121250,2021,S,
25174900,08121290,2021,S,
25172000,08121300,2021,S,
25070020,08122140,2021,T,a
25070080,08122160,2021,T,
25081000,08122210,2021,T,
25083000,08122230,2021,T,
,08122250,2021,T,
25084000,08122255,2021,T,
25085000,08122260,2021,T,
25086000,08122270,2021,T,
25087000,08122280,2021,T,
25101000,08911100,2021,T,
25102000,08911100,2021,T,
,08911200,2021,T,
25020000,08911220,2021,T,
25030010,08911230,2021,T,
25111000,08911900,2021,T,
25112000,08911900,2021,T,
25280000,08911900,2021,T,
25292100,08911900,2021,T,
25292200,08911900,2021,T,
25302000,08911900,2021,T,
25309000,08911900,2021,T,
25010031,08931000,2021,T,
25010051,08931000,2021,T,
25010099,08931000,2021,T,
27149000,08991000,2021,T,
,08992100,2021,T,
71021000,08992110,2021,T,
71023100,08992110,2021,T,
71031000,08992120,2021,T,
,08992200,2021,T,
71022100,08992210,2021,T,
25131000,08992220,2021,T,
25132000,08992230,2021,T,
25041000,08992900,2021,T,
25049000,08992900,2021,T,
25061000,08992900,2021,T,
25120000,08992900,2021,T,
25191000,08992900,2021,T,
25199010,08992900,2021,T,
25199030,08992900,2021,T,
25199090,08992900,2021,T,
25241000,08992900,2021,T,
25249000,08992900,2021,T,
25251000,08992900,2021,T,
25252000,08992900,2021,T,
25253000,08992900,2021,T,
25261000,08992900,2021,T,
25262000,08992900,2021,T,
25291000,08992900,2021,T,
25293000,08992900,2021,T,
25301000,08992900,2021,T,
26219000,08992900,2021,T,
16010010,100000Z1,2021,S,
16010091,100000Z1,2021,S,
16010099,100000Z1,2021,S,
16022010,100000Z1,2021,S,
16022090,100000Z1,2021,S,
16023111,100000Z1,2021,S,
16023119,100000Z1,2021,S,
16023180,100000Z1,2021,S,
16023211,100000Z1,2021,S,
16023219,100000Z1,2021,S,
16023230,100000Z1,2021,S,
16023290,100000Z1,2021,S,
16023921,100000Z1,2021,S,
16023929,100000Z1,2021,S,
16023985,100000Z1,2021,S,
16024110,100000Z1,2021,S,
16024190,100000Z1,2021,S,
16024210,100000Z1,2021,S,
16024290,100000Z1,2021,S,
16024911,100000Z1,2021,S,
16024913,100000Z1,2021,S,
16024915,100000Z1,2021,S,
16024919,100000Z1,2021,S,
16024930,100000Z1,2021,S,
16024950,100000Z1,2021,S,
16024990,100000Z1,2021,S,
16025010,100000Z1,2021,S,
16025031,100000Z1,2021,S,
16025095,100000Z1,2021,S,
16029010,100000Z1,2021,S,
16029031,100000Z1,2021,S,
16029051,100000Z1,2021,S,
