SITC4,CN2022,START,END
77813,85491910,01/01/2022,31/12/2500
77813,85491920,01/01/2022,31/12/2500
77813,85491990,01/01/2022,31/12/2500
77813,85492100,01/01/2022,31/12/2500
77813,85492900,01/01/2022,31/12/2500
77813,85493100,01/01/2022,31/12/2500
77813,85493900,01/01/2022,31/12/2500
77813,85499100,01/01/2022,31/12/2500
77813,85499900,01/01/2022,31/12/2500
78320,87012110,01/01/2022,31/12/2500
78320,87012190,01/01/2022,31/12/2500
78320,87012210,01/01/2022,31/12/2500
78320,87012290,01/01/2022,31/12/2500
78320,87012310,01/01/2022,31/12/2500
78320,87012390,01/01/2022,31/12/2500
78320,87012410,01/01/2022,31/12/2500
78320,87012490,01/01/2022,31/12/2500
78320,87012900,01/01/2022,31/12/2500
78219,87042110,01/01/2022,31/12/2500
78219,87042131,01/01/2022,31/12/2500
78219,87042139,01/01/2022,31/12/2500
78219,87042191,01/01/2022,31/12/2500
78219,87042199,01/01/2022,31/12/2500
78219,87042210,01/01/2022,31/12/2500
78219,87042291,01/01/2022,31/12/2500
78219,87042299,01/01/2022,31/12/2500
78219,87042310,01/01/2022,31/12/2500
78219,87042391,01/01/2022,31/12/2500
78219,87042399,01/01/2022,31/12/2500
78219,87043110,01/01/2022,31/12/2500
78219,87043131,01/01/2022,31/12/2500
78219,87043139,01/01/2022,31/12/2500
78219,87043191,01/01/2022,31/12/2500
78219,87043199,01/01/2022,31/12/2500
78219,87043210,01/01/2022,31/12/2500
78219,87043291,01/01/2022,31/12/2500
78219,87043299,01/01/2022,31/12/2500
78219,87044110,01/01/2022,31/12/2500
78219,87044131,01/01/2022,31/12/2500
78219,87044139,01/01/2022,31/12/2500
78219,87044191,01/01/2022,31/12/2500
78219,87044199,01/01/2022,31/12/2500
78219,87044210,01/01/2022,31/12/2500
78219,87044291,01/01/2022,31/12/2500
78219,87044299,01/01/2022,31/12/2500
78219,87044310,01/01/2022,31/12/2500
78219,87044391,01/01/2022,31/12/2500
78219,87044399,01/01/2022,31/12/2500
78219,87045110,01/01/2022,31/12/2500
78219,87045131,01/01/2022,31/12/2500
78219,87045139,01/01/2022,31/12/2500
78219,87045191,01/01/2022,31/12/2500
78219,87045199,01/01/2022,31/12/2500
78219,87045210,01/01/2022,31/12/2500
78219,87045291,01/01/2022,31/12/2500
78219,87045299,01/01/2022,31/12/2500
78219,87046000,01/01/2022,31/12/2500
78219,87049000,01/01/2022,31/12/2500
78432,87082210,01/01/2022,31/12/2500
78432,87082290,01/01/2022,31/12/2500
78432,87082910,01/01/2022,31/12/2500
78432,87082990,01/01/2022,31/12/2500
79211,88021100,01/01/2022,31/12/2500
79215,88021200,01/01/2022,31/12/2500
79220,88022000,01/01/2022,31/12/2500
79230,88023000,01/01/2022,31/12/2500
79240,88024000,01/01/2022,31/12/2500
79211,88061010,01/01/2022,31/12/2500
79215,88061090,01/01/2022,31/12/2500
76484,88062110,01/01/2022,31/12/2500
79211,88062190,01/01/2022,31/12/2500
76484,88062210,01/01/2022,31/12/2500
79211,88062290,01/01/2022,31/12/2500
79211,88062300,01/01/2022,31/12/2500
79211,88062400,01/01/2022,31/12/2500
79211,88062910,01/01/2022,31/12/2500
79230,88062920,01/01/2022,31/12/2500
79211,88069100,01/01/2022,31/12/2500
79211,88069200,01/01/2022,31/12/2500
79211,88069300,01/01/2022,31/12/2500
79211,88069400,01/01/2022,31/12/2500
79211,88069910,01/01/2022,31/12/2500
79230,88069920,01/01/2022,31/12/2500
79291,88071000,01/01/2022,31/12/2500
79293,88072000,01/01/2022,31/12/2500
79295,88073000,01/01/2022,31/12/2500
79297,88079010,01/01/2022,31/12/2500
79297,88079021,01/01/2022,31/12/2500
79297,88079029,01/01/2022,31/12/2500
79297,88079030,01/01/2022,31/12/2500
79297,88079090,01/01/2022,31/12/2500
93100,88III000,01/01/2022,31/12/2500
79311,89031100,01/01/2022,31/12/2500
79311,89031200,01/01/2022,31/12/2500
79311,89031900,01/01/2022,31/12/2500
79312,89032100,01/01/2022,31/12/2500
79312,89032210,01/01/2022,31/12/2500
79312,89032290,01/01/2022,31/12/2500
79312,89032310,01/01/2022,31/12/2500
79312,89032390,01/01/2022,31/12/2500
79319,89033100,01/01/2022,31/12/2500
79319,89033210,01/01/2022,31/12/2500
79319,89033290,01/01/2022,31/12/2500
79319,89033310,01/01/2022,31/12/2500
79319,89033390,01/01/2022,31/12/2500
79319,89039310,01/01/2022,31/12/2500
79319,89039390,01/01/2022,31/12/2500
79319,89039910,01/01/2022,31/12/2500
93100,89III000,01/01/2022,31/12/2500
88111,90065380,01/01/2022,31/12/2500
88111,90065900,01/01/2022,31/12/2500
87193,90138000,01/01/2022,31/12/2500
87229,90189084,01/01/2022,31/12/2500
77422,90222100,01/01/2022,31/12/2500
77422,90222900,01/01/2022,31/12/2500
87446,90278100,01/01/2022,31/12/2500
87446,90278910,01/01/2022,31/12/2500
87446,90278930,01/01/2022,31/12/2500
87446,90278990,01/01/2022,31/12/2500
88599,91149010,01/01/2022,31/12/2500
88599,91149090,01/01/2022,31/12/2500
93100,91III000,01/01/2022,31/12/2500
93100,92III000,01/01/2022,31/12/2500
93100,93III000,01/01/2022,31/12/2500
82114,94013100,01/01/2022,31/12/2500
82114,94013900,01/01/2022,31/12/2500
82115,94014100,01/01/2022,31/12/2500
82115,94014900,01/01/2022,31/12/2500
82119,94019110,01/01/2022,31/12/2500
82119,94019190,01/01/2022,31/12/2500
82119,94019910,01/01/2022,31/12/2500
82119,94019990,01/01/2022,31/12/2500
82180,94039100,01/01/2022,31/12/2500
82180,94039910,01/01/2022,31/12/2500
82180,94039990,01/01/2022,31/12/2500
82129,94044010,01/01/2022,31/12/2500
82129,94044090,01/01/2022,31/12/2500
82129,94049010,01/01/2022,31/12/2500
82129,94049090,01/01/2022,31/12/2500
81311,94051140,01/01/2022,31/12/2500
81311,94051150,01/01/2022,31/12/2500
81311,94051190,01/01/2022,31/12/2500
81311,94051940,01/01/2022,31/12/2500
81311,94051950,01/01/2022,31/12/2500
81311,94051990,01/01/2022,31/12/2500
81313,94052140,01/01/2022,31/12/2500
81313,94052150,01/01/2022,31/12/2500
81313,94052190,01/01/2022,31/12/2500
81313,94052940,01/01/2022,31/12/2500
81313,94052950,01/01/2022,31/12/2500
81313,94052990,01/01/2022,31/12/2500
89441,94053100,01/01/2022,31/12/2500
89441,94053900,01/01/2022,31/12/2500
81315,94054110,01/01/2022,31/12/2500
81315,94054131,01/01/2022,31/12/2500
81315,94054139,01/01/2022,31/12/2500
81315,94054210,01/01/2022,31/12/2500
81315,94054231,01/01/2022,31/12/2500
81315,94054239,01/01/2022,31/12/2500
81315,94054910,01/01/2022,31/12/2500
81315,94054940,01/01/2022,31/12/2500
81315,94054990,01/01/2022,31/12/2500
81320,94056120,01/01/2022,31/12/2500
81320,94056180,01/01/2022,31/12/2500
81320,94056920,01/01/2022,31/12/2500
81320,94056980,01/01/2022,31/12/2500
81399,94059900,01/01/2022,31/12/2500
81100,94062000,01/01/2022,31/12/2500
81100,94069038,01/01/2022,31/12/2500
89460,95082100,01/01/2022,31/12/2500
89460,95082200,01/01/2022,31/12/2500
89460,95082300,01/01/2022,31/12/2500
89460,95082400,01/01/2022,31/12/2500
89460,95082500,01/01/2022,31/12/2500
89460,95082600,01/01/2022,31/12/2500
89460,95082900,01/01/2022,31/12/2500
89460,95083000,01/01/2022,31/12/2500
89460,95084000,01/01/2022,31/12/2500
93100,95III000,01/01/2022,31/12/2500
93100,96III000,01/01/2022,31/12/2500
89611,97012100,01/01/2022,31/12/2500
89612,97012200,01/01/2022,31/12/2500
89612,97012900,01/01/2022,31/12/2500
89611,97019100,01/01/2022,31/12/2500
89612,97019200,01/01/2022,31/12/2500
89612,97019900,01/01/2022,31/12/2500
89620,97021000,01/01/2022,31/12/2500
89620,97029000,01/01/2022,31/12/2500
89630,97031000,01/01/2022,31/12/2500
89630,97039000,01/01/2022,31/12/2500
89650,97051000,01/01/2022,31/12/2500
89650,97052100,01/01/2022,31/12/2500
89650,97052200,01/01/2022,31/12/2500
89650,97052900,01/01/2022,31/12/2500
89650,97053100,01/01/2022,31/12/2500
89650,97053900,01/01/2022,31/12/2500
89660,97061000,01/01/2022,31/12/2500
89660,97069000,01/01/2022,31/12/2500
93100,97III000,01/01/2022,31/12/2500
